Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p [bar]	dQh [J/s]	dQh [J/KW]	Qh [J]	dQb [J/s]	dQb [J/KW]	Qb [J]	T_mittel [K]	 kappa [-]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Alpha [W/(m^2K)]	dmL [kg/s]	dmL [kg/KW]	mL [kg]
-130.0	 0.0	 4.296400409409662E-4	 1.2103560840806113	 906.0541875000001	 0.07549178008620769	 0.11323767012931152	 906.0541875000001	 0.07549178008620769	 0.11323767012931152	 378.0683225816245	 1.3939821550088314	 0.0	 0.0	 0.0	 0.0	 3.068790095275543E-4	 105.69810662397197	 0.0	 0.0	 0.0	 
-128.5	 1.2497891593190336E-4	 4.2596733887179046E-4	 1.224700982872048	 -751.4786175561761	 -0.06261265531211753	 0.019318687161135235	 -759.2899602	 -0.06326349073584937	 0.01834243402553748	 379.2788245346753	 1.3939049317865755	 -7.811342643823863	 -6.508354237318363E-4	 -9.762531355977543E-4	 0.0	 4.9708793722561864E-5	 106.61765333029591	 2.282740752644904E-6	 1.901963097460915E-10	 2.8529446461913724E-10	 
-127.0	 2.499578318638067E-4	 4.22188731962874E-4	 1.2398572663255505	 1125.2368639852386	 0.09375392228499314	 0.15994957058862494	 1117.621102	 0.09311938250038614	 0.15802150777611668	 380.56676133869934	 1.3938227525266387	 -7.615761985238469	 -6.345397846070027E-4	 -0.0019280628125082583	 3.8828170847812364E-4	 4.2824515671338316E-4	 107.58350671809707	 2.8963234844281673E-6	 2.413195795146302E-10	 6.472738338910825E-10	 
-125.5	 3.749367477957101E-4	 4.1830503699352305E-4	 1.2558928069788522	 253.21745306034882	 0.021097895185680015	 0.19159641336714495	 245.80150460000004	 0.020480003719559176	 0.18874151335545544	 381.94299824310355	 1.3937343213492281	 -7.415948460348763	 -6.178914661208375E-4	 -0.0028549000116895144	 3.8828170847812364E-4	 5.114977075129794E-4	 108.59857697494009	 3.4170258255629115E-6	 2.847041222601132E-10	 1.0743300172812522E-9	 
-124.0	 4.999156637276134E-4	 4.1431715917825205E-4	 1.2737839458528744	 325.0935652169383	 0.02708656090483365	 0.23222625472439543	 317.99101629999996	 0.02649478166217214	 0.22848368584871365	 383.6913387545268	 1.3936210640997169	 -7.102548916938365	 -5.917792426615141E-4	 -0.0037425688756817857	 3.8828170847812364E-4	 6.19200722925404E-4	 109.6970443287064	 3.937406431919211E-6	 3.2806185829637776E-10	 1.5664228047258188E-9	 
-122.5	 6.248945796595168E-4	 4.1022609678479304E-4	 1.2921400523443973	 212.8360533301843	 0.01773334614428747	 0.25882627394082663	 205.9905112500013	 0.01716298052552247	 0.2542281566369973	 385.377762225247	 1.39351085108549	 -6.845542080183008	 -5.703656187649994E-4	 -0.004598117303829284	 3.8828170847812364E-4	 6.889693581092404E-4	 110.8313686503334	 4.38175698677353E-6	 3.650848253893328E-10	 2.114050042809818E-9	 
-121.0	 7.498734955914202E-4	 4.060329457062269E-4	 1.3108906369238285	 672.4027788335826	 0.056024113578813685	 0.3428624443090471	 665.7922384000001	 0.055473328127404915	 0.3374381488281047	 386.97422051212266	 1.393405647443827	 -6.610540433582526	 -5.507854514087724E-4	 -0.005424295480942443	 3.8828170847812364E-4	 9.144720548464874E-4	 111.99993278199268	 4.786525338112269E-6	 3.9880983189190574E-10	 2.7122647906476766E-9	 
-119.5	 8.748524115233235E-4	 4.0173890396502025E-4	 1.3300970688643123	 -396.15582506507144	 -0.033007417037827586	 0.2933513187523058	 -402.52807077	 -0.033538347944663385	 0.28713062691110963	 388.49201118871446	 1.3933048470373266	 -6.37224570492856	 -5.309309068357993E-4	 -0.006220691841196142	 3.8828170847812364E-4	 7.781364831233726E-4	 113.20569663297626	 5.170918021282948E-6	 4.308371524484571E-10	 3.3585205193203623E-9	 
-118.0	 9.998313274552268E-4	 3.973452761258489E-4	 1.3502931083099394	 -774.0176782777037	 -0.0644905935621841	 0.19661542840902962	 -780.1131944	 -0.06499846756019079	 0.18963292557082345	 390.07811115980223	 1.3931987008304312	 -6.095516122296323	 -5.078739980066892E-4	 -0.006982502838206175	 3.8828170847812364E-4	 5.139134733744679E-4	 114.46766085483604	 5.551071114270796E-6	 4.625112334149779E-10	 4.052287369442829E-9	 
-116.5	 0.0011248102433871303	 3.928534775932957E-4	 1.372097064149023	 686.9037269931457	 0.057232322099458305	 0.28246391155821704	 681.1019261	 0.056748920242072905	 0.2747563059339328	 391.8966621196954	 1.3930759859984616	 -5.801800893145663	 -4.834018573853958E-4	 -0.0077076056242842686	 3.8828170847812364E-4	 7.446015352503228E-4	 115.80744738252208	 5.921091750267918E-6	 4.933410853878804E-10	 4.79229899752465E-9	 
-115.0	 0.0012497891593190335	 3.8826503876985874E-4	 1.3956048994496084	 686.571513748158	 0.05720464233198046	 0.3682708750561877	 681.1019261	 0.056748920242072905	 0.35987968629704215	 393.9558859352696	 1.392935732721512	 -5.46958764815808	 -4.5572208990755046E-4	 -0.008391188759145594	 3.8828170847812364E-4	 9.752895971261777E-4	 117.22880465729969	 6.288877002801498E-6	 5.239846868261392E-10	 5.578276027763859E-9	 
