[KWnEO]	[mm]
0	0.00481517
1	0.01141282
2	0.01843672
3	0.02537844
4	0.03291497
5	0.04173749
6	0.05358662
7	0.06833664
8	0.08659877
9	0.10879495
10	0.13601759
11	0.16837418
12	0.20555648
13	0.2468574
14	0.28796069
15	0.3305567
16	0.37635624
17	0.43067701
18	0.49292879
19	0.56263876
20	0.63902327
21	0.72118735
22	0.80776625
23	0.89873274
24	0.99303647
25	1.09072401
26	1.19039149
27	1.29242834
28	1.3961219
29	1.50084937
30	1.60508894
31	1.70711327
32	1.80550719
33	1.89945261
34	1.9936873
35	2.0901347
36	2.18919537
37	2.28824286
38	2.38750619
39	2.48858652
40	2.59127541
41	2.69532675
42	2.80063793
43	2.90691839
44	3.01464505
45	3.12373402
46	3.2342729
47	3.3456101
48	3.45737002
49	3.56910867
50	3.68016289
51	3.79018815
52	3.89886803
53	4.00583519
54	4.11041226
55	4.21186809
56	4.31139972
57	4.40962351
58	4.50738489
59	4.60390861
60	4.69924972
61	4.79348453
62	4.88667901
63	4.97888601
64	5.07014333
65	5.16047208
66	5.24987623
67	5.33834328
68	5.42584516
69	5.51233891
70	5.59776776
71	5.68206351
72	5.76515189
73	5.84697278
74	5.92748306
75	6.0066524
76	6.08444974
77	6.16085126
78	6.2358544
79	6.30946513
80	6.38168824
81	6.45251586
82	6.5219365
83	6.58993513
84	6.65649131
85	6.72157325
86	6.78516855
87	6.84728222
88	6.90794287
89	6.96717283
90	7.02499226
91	7.08141886
92	7.13646626
93	7.19014251
94	7.24244912
95	7.29338138
96	7.34292868
97	7.39107438
98	7.4377954
99	7.4830609
100	7.52684048
101	7.56910867
102	7.60984834
103	7.64904587
104	7.68669481
105	7.72281284
106	7.75742291
107	7.79054826
108	7.82219364
109	7.85236121
110	7.88104818
111	7.90824678
112	7.93394455
113	7.95812511
114	7.98076917
115	8.0018557
116	8.02136544
117	8.03928384
118	8.05560453
119	8.07033322
120	8.08348413
121	8.09507564
122	8.10512335
123	8.11364087
124	8.12064008
125	8.12613087
126	8.13012072
127	8.13261479
128	8.1336175
129	8.13313303
130	8.13116522
131	8.12771602
132	8.12278525
133	8.11637099
134	8.10847061
135	8.09908191
136	8.08820234
137	8.07582817
138	8.06195357
139	8.04657132
140	8.029673
141	8.01124934
142	7.99129243
143	7.96979778
144	7.9467653
145	7.92219822
146	7.89610237
147	7.86848598
148	7.83935826
149	7.80872786
150	7.77660105
151	7.74298127
152	7.70786882
153	7.67126104
154	7.63315242
155	7.59353509
156	7.55239909
157	7.50973702
158	7.46554775
159	7.41983841
160	7.37262205
161	7.32391582
162	7.27373948
163	7.22211281
164	7.16905233
165	7.11456977
166	7.05867077
167	7.00134439
168	6.94258495
169	6.8824023
170	6.82083031
171	6.75790461
172	6.6936526
173	6.62809505
174	6.56124593
175	6.49311382
176	6.42370539
177	6.35302594
178	6.28107729
179	6.20785338
180	6.13334021
181	6.05752137
182	5.98038158
183	5.90191043
184	5.82210459
185	5.7409697
186	5.65852236
187	5.57480358
188	5.48986899
189	5.40377774
190	5.31657427
191	5.22829831
192	5.13899001
193	5.04868645
194	4.9574158
195	4.86519355
196	4.77201969
197	4.67787126
198	4.5826854
199	4.48641126
200	4.38904542
201	4.29065168
202	4.19131625
203	4.09112227
204	3.99014136
205	3.88828424
206	3.78562199
207	3.68213149
208	3.57808273
209	3.47360337
210	3.36892958
211	3.26388183
212	3.15854075
213	3.05299462
214	2.94760536
215	2.84228659
216	2.73698713
217	2.63166716
218	2.52652389
219	2.42173095
220	2.31742787
221	2.21333866
222	2.10941487
223	2.00476977
224	1.89981134
225	1.79469328
226	1.69044922
227	1.58719406
228	1.48528615
229	1.38517277
230	1.2864059
231	1.18971919
232	1.09528267
233	1.00502696
234	0.91884577
235	0.83685072
236	0.75869054
237	0.68466209
238	0.61524567
239	0.549626
240	0.48701081
241	0.42704596
242	0.37000029
243	0.31701494
244	0.26833877
245	0.22454234
246	0.18514044
247	0.15026429
248	0.11967161
249	0.09292083
250	0.07027107
251	0.05148852
252	0.03693262
253	0.02518051
254	0.01560753
255	0.00749715
256	0.00062365
