Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust [Pa]	p_Reale Ladung [Pa]	p_Verbrennungslage [Pa]	p_HC_CO [Pa]	p_realer Brennverlauf [Pa]
-128.5	 1.2497891593190336E-4	 4.2596733887179046E-4	 121035.60840806113	 121035.60840806113	 121035.60840806113	 121035.60840806113	 121035.60840806113	 
-127.0	 2.499578318638067E-4	 4.22188731962874E-4	 122487.43700756936	 122492.6676956361	 122492.6676956361	 122492.6676956361	 122469.1851804072	 
-125.5	 3.749367477957101E-4	 4.1830503699352305E-4	 124020.36600433881	 124023.34495969421	 124023.34495969421	 124023.34495969421	 123983.9013236346	 
-124.0	 4.999156637276134E-4	 4.1431715917825205E-4	 125641.09629578466	 125631.02347306786	 125631.02347306786	 125631.02347306786	 125586.54861564412	 
-122.5	 6.248945796595168E-4	 4.1022609678479304E-4	 127447.22354012905	 127319.30679542964	 127319.30679542964	 127319.30679542964	 127374.76316106916	 
-121.0	 7.498734955914202E-4	 4.060329457062269E-4	 129299.62413905091	 129092.03589280086	 129092.03589280086	 129092.03589280086	 129209.48506694079	 
-119.5	 8.748524115233235E-4	 4.0173890396502025E-4	 131191.29352195447	 130953.30645118453	 130953.30645118453	 130953.30645118453	 131083.66302476937	 
-118.0	 9.998313274552268E-4	 3.973452761258489E-4	 133128.38408304562	 132907.48732033002	 132907.48732033002	 132907.48732033002	 133003.43312314406	 
-116.5	 0.0011248102433871303	 3.928534775932957E-4	 135164.30405571693	 134959.2404011915	 134959.2404011915	 134959.2404011915	 135022.16965291832	 
-115.0	 0.0012497891593190335	 3.8826503876985874E-4	 137360.83910675778	 137113.54218091993	 137113.54218091993	 137113.54218091993	 137201.70585128476	 
-113.5	 0.001374768075250937	 3.8358160904919614E-4	 139727.4481224582	 139375.70709822964	 139375.70709822964	 139375.70709822964	 139551.6452239786	 
-112.0	 0.0014997469911828404	 3.788049606191895E-4	 142108.50152739885	 141751.41292531288	 141751.41292531288	 141751.41292531288	 141916.34003017936	 
-110.5	 0.0016247259071147436	 3.73936992049243E-4	 144694.733010839	 144246.72836506716	 144246.72836506716	 144246.72836506716	 144486.57341289875	 
-109.0	 0.001749704823046647	 3.6897973163626396E-4	 147369.64748274803	 146868.14307983304	 146868.14307983304	 146868.14307983304	 147145.86196215637	 
-107.5	 0.0018746837389785503	 3.639353404839962E-4	 150182.4935216248	 149622.60038868722	 149622.60038868722	 149622.60038868722	 149943.5782148418	 
-106.0	 0.0019996626549104537	 3.5880611529081957E-4	 153010.4059434084	 152517.53289417058	 152517.53289417058	 152517.53289417058	 152756.70209489498	 
-104.5	 0.002124641570842357	 3.5359449082178593E-4	 156161.376765354	 155560.90132611967	 155560.90132611967	 155560.90132611967	 155893.45006477257	 
-103.0	 0.0022496204867742606	 3.4830304204154066E-4	 159390.2586007634	 158761.23692015733	 158761.23692015733	 158761.23692015733	 159108.7022506447	 
-101.5	 0.002374599402706164	 3.429344858858765E-4	 162861.81959446953	 162127.6876816253	 162127.6876816253	 162127.6876816253	 162567.36502446362	 
-100.0	 0.002499578318638067	 3.3749168265098347E-4	 166498.8960945901	 165670.06892260784	 165670.06892260784	 165670.06892260784	 166192.39583650095	 
-98.5	 0.0026245572345699707	 3.3197763698099585E-4	 170227.75090859522	 169398.91850054727	 169398.91850054727	 169398.91850054727	 169910.0368957318	 
-97.0	 0.002749536150501874	 3.263954984361571E-4	 174155.92681120418	 173325.55723217275	 173325.55723217275	 173325.55723217275	 173827.94756415495	 
-95.5	 0.002874515066433777	 3.2074856162586424E-4	 178306.02029480092	 177462.15500646556	 177462.15500646556	 177462.15500646556	 177968.7860703135	 
-94.0	 0.0029994939823656808	 3.1504026589294134E-4	 182804.93703299362	 181821.80317561014	 181821.80317561014	 181821.80317561014	 182459.77355914257	 
-92.5	 0.003124472898297584	 3.092741945377567E-4	 187406.2564903852	 186418.59386379016	 186418.59386379013	 186418.59386379016	 187054.56419794727	 
-91.0	 0.003249451814229487	 3.03454073573185E-4	 192368.9931874867	 191267.7069007568	 191267.70690075678	 191267.7069007568	 192012.39360213425	 
-89.5	 0.0033744307301613904	 2.975837700039306E-4	 197556.45235516	 196385.50516079768	 196385.50516079765	 196385.50516079768	 197196.8032115334	 
-88.0	 0.003499409646093294	 2.916672896263115E-4	 203064.00068270785	 201789.63916852	 201789.63916851993	 201789.63916852	 202703.3441508158	 
-86.5	 0.0036243885620251973	 2.8570877434726624E-4	 208871.3360040234	 207499.16192115346	 207499.1619211534	 207499.16192115346	 208512.0498832113	 
