CA	pMess	dummy	dummy
[KWnZOT]	[bar]	[bar]	[bar]
-359.3	1.469787275	5	5
-359.05	1.467505539	5	5
-358.8	1.464172419	5	5
-358.55	1.459753121	5	5
-358.3	1.454308389	5	5
-358.05	1.447987282	5	5
-357.8	1.441002656	5	5
-357.55	1.433594549	5	5
-357.3	1.425989923	5	5
-357.05	1.418368366	5	5
-356.8	1.410841761	5	5
-356.55	1.403452241	5	5
-356.3	1.396187783	5	5
-356.05	1.38901001	5	5
-355.8	1.381885405	5	5
-355.55	1.374810076	5	5
-355.3	1.367819828	5	5
-355.05	1.360981354	5	5
-354.8	1.354366015	5	5
-354.55	1.348013535	5	5
-354.3	1.341897318	5	5
-354.05	1.335904356	5	5
-353.8	1.329839856	5	5
-353.55	1.323460031	5	5
-353.3	1.316527627	5	5
-353.05	1.308876426	5	5
-352.8	1.300466233	5	5
-352.55	1.291410679	5	5
-352.3	1.281966979	5	5
-352.05	1.272487477	5	5
-351.8	1.263344197	5	5
-351.55	1.254845733	5	5
-351.3	1.247168209	5	5
-351.05	1.240317864	5	5
-350.8	1.234133925	5	5
-350.55	1.228329637	5	5
-350.3	1.222560077	5	5
-350.05	1.216499914	5	5
-349.8	1.209913477	5	5
-349.55	1.202702681	5	5
-349.3	1.194924187	5	5
-349.05	1.186774097	5	5
-348.8	1.178545192	5	5
-348.55	1.170567112	5	5
-348.3	1.163143009	5	5
-348.05	1.156496174	5	5
-347.8	1.150736745	5	5
-347.55	1.145852564	5	5
-347.3	1.141721485	5	5
-347.05	1.138137317	5	5
-346.8	1.13484013	5	5
-346.55	1.131544235	5	5
-346.3	1.127962188	5	5
-346.05	1.123827913	5	5
-345.8	1.118923639	5	5
-345.55	1.113112557	5	5
-345.3	1.106373155	5	5
-345.05	1.098824945	5	5
-344.8	1.090732731	5	5
-344.55	1.082479755	5	5
-344.3	1.074508942	5	5
-344.05	1.06724277	5	5
-343.8	1.061001359	5	5
-343.55	1.055941115	5	5
-343.3	1.052031003	5	5
-343.05	1.049072222	5	5
-342.8	1.046753917	5	5
-342.55	1.044727556	5	5
-342.3	1.042679165	5	5
-342.05	1.040382119	5	5
-341.8	1.037721581	5	5
-341.55	1.034691288	5	5
-341.3	1.031370719	5	5
-341.05	1.027893778	5	5
-340.8	1.024418858	5	5
-340.55	1.021105928	5	5
-340.3	1.018101466	5	5
-340.05	1.015528465	5	5
-339.8	1.013477734	5	5
-339.55	1.011998067	5	5
-339.3	1.011085686	5	5
-339.05	1.010676064	5	5
-338.8	1.01064257	5	5
-338.55	1.010805663	5	5
-338.3	1.010953919	5	5
-338.05	1.010874783	5	5
-337.8	1.010389939	5	5
-337.55	1.009388337	5	5
-337.3	1.00784982	5	5
-337.05	1.005853847	5	5
-336.8	1.003570574	5	5
-336.55	1.001235029	5	5
-336.3	0.999108528	5	5
-336.05	0.997434267	5	5
-335.8	0.996395413	5	5
-335.55	0.996083672	5	5
-335.3	0.996484184	5	5
-335.05	0.997479223	5	5
-334.8	0.998869483	5	5
-334.55	1.000408584	5	5
-334.3	1.001844484	5	5
-334.05	1.002960712	5	5
-333.8	1.003610649	5	5
-333.55	1.003739193	5	5
-333.3	1.003388026	5	5
-333.05	1.002683492	5	5
-332.8	1.00180946	5	5
-332.55	1.00097094	5	5
-332.3	1.000356481	5	5
-332.05	1.000107574	5	5
-331.8	1.00030113	5	5
-331.55	1.000947176	5	5
-331.3	1.001999766	5	5
-331.05	1.003376097	5	5
-330.8	1.004977924	5	5
-330.55	1.006710506	5	5
-330.3	1.008496436	5	5
-330.05	1.010283829	5	5
-329.8	1.012049497	5	5
-329.55	1.013797986	5	5
-329.3	1.015557037	5	5
-329.05	1.017369823	5	5
-328.8	1.019284488	5	5
-328.55	1.021342104	5	5
-328.3	1.023564754	5	5
-328.05	1.02594585	5	5
-327.8	1.028444753	5	5
-327.55	1.030987306	5	5
-327.3	1.033473101	5	5
-327.05	1.035789202	5	5
-326.8	1.037828859	5	5
-326.55	1.039512467	5	5
-326.3	1.040807089	5	5
-326.05	1.04174037	5	5
-325.8	1.042405031	5	5
-325.55	1.042951424	5	5
-325.3	1.043567866	5	5
-325.05	1.04445132	5	5
-324.8	1.045773745	5	5
-324.55	1.047651228	5	5
-324.3	1.050122917	5	5
-324.05	1.053144673	5	5
-323.8	1.056598621	5	5
-323.55	1.06031576	5	5
-323.3	1.06410579	5	5
-323.05	1.067787401	5	5
-322.8	1.071213341	5	5
-322.55	1.074287068	5	5
-322.3	1.076970269	5	5
-322.05	1.079282322	5	5
-321.8	1.081293363	5	5
-321.55	1.083112413	5	5
-321.3	1.084871516	5	5
-321.05	1.086706539	5	5
-320.8	1.088735483	5	5
-320.55	1.091035857	5	5
-320.3	1.093623898	5	5
-320.05	1.096439789	5	5
-319.8	1.099343994	5	5
-319.55	1.102129356	5	5
-319.3	1.104550964	5	5
-319.05	1.106370873	5	5
-318.8	1.107408976	5	5
-318.55	1.107587031	5	5
-318.3	1.106952602	5	5
-318.05	1.105674546	5	5
-317.8	1.104010334	5	5
-317.55	1.102254676	5	5
-317.3	1.100684591	5	5
-317.05	1.099515826	5	5
-316.8	1.098879777	5	5
-316.55	1.098821737	5	5
-316.3	1.099314345	5	5
-316.05	1.100277434	5	5
-315.8	1.101597153	5	5
-315.55	1.103141507	5	5
