CA	pMess	dummy	dummy	
[KWnZOT]	[bar]	[bar]	[bar]	
-359.6500000	1.5202821	5.0000000	5.0000000	1.0000000
-359.4	1.512488546	5	5	2
-359.15	1.503142216	5	5	3
-358.9	1.493498597	5	5	4
-358.65	1.484982317	5	5	5
-358.4	1.478676792	5	5	6
-358.15	1.474871942	5	5	7
-357.9	1.472885552	5	5	8
-357.65	1.471278962	5	5	9
-357.4	1.468409054	5	5	10
-357.15	1.463083701	5	5	11
-356.9	1.45502111	5	5	12
-356.65	1.444900445	5	5	13
-356.4	1.433989502	5	5	14
-356.15	1.423547845	5	5	15
-355.9	1.414322554	5	5	16
-355.65	1.406395931	5	5	17
-355.4	1.39941605	5	5	18
-355.15	1.392988156	5	5	19
-354.9	1.386929252	5	5	20
-354.65	1.381247431	5	5	21
-354.4	1.375939352	5	5	22
-354.15	1.370798054	5	5	23
-353.9	1.365356307	5	5	24
-353.65	1.358982064	5	5	25
-353.4	1.351086826	5	5	26
-353.15	1.341383035	5	5	27
-352.9	1.330088035	5	5	28
-352.65	1.317947824	5	5	29
-352.4	1.3060111	5	5	30
-352.15	1.295225788	5	5	31
-351.9	1.286060365	5	5	32
-351.65	1.278355041	5	5	33
-351.4	1.271465724	5	5	34
-351.15	1.264587118	5	5	35
-350.9	1.257067911	5	5	36
-350.65	1.248594619	5	5	37
-350.4	1.239232806	5	5	38
-350.15	1.229369813	5	5	39
-349.9	1.219585197	5	5	40
-349.65	1.210451642	5	5	41
-349.4	1.20230067	5	5	42
-349.15	1.195054241	5	5	43
-348.9	1.188244056	5	5	44
-348.65	1.18125789	5	5	45
-348.4	1.173700695	5	5	46
-348.15	1.165651292	5	5	47
-347.9	1.157636578	5	5	48
-347.65	1.150325803	5	5	49
-347.4	1.144133665	5	5	50
-347.15	1.138967334	5	5	51
-346.9	1.134241042	5	5	52
-346.65	1.129126396	5	5	53
-346.4	1.122918165	5	5	54
-346.15	1.11538055	5	5	55
-345.9	1.106946482	5	5	56
-345.65	1.098663198	5	5	57
-345.4	1.091848631	5	5	58
-345.15	1.087549693	5	5	59
-344.9	1.086014777	5	5	60
-344.65	1.086436129	5	5	61
-344.4	1.087147736	5	5	62
-344.15	1.086279894	5	5	63
-343.9	1.082617188	5	5	64
-343.65	1.076218494	5	5	65
-343.4	1.068418275	5	5	66
-343.15	1.061176122	5	5	67
-342.9	1.05614804	5	5	68
-342.65	1.053998257	5	5	69
-342.4	1.054262565	5	5	70
-342.15	1.055723997	5	5	71
-341.9	1.057030509	5	5	72
-341.65	1.057247547	5	5	73
-341.4	1.056125016	5	5	74
-341.15	1.05400997	5	5	75
-340.9	1.051520806	5	5	76
-340.65	1.049223075	5	5	77
-340.4	1.047496687	5	5	78
-340.15	1.046583683	5	5	79
-339.9	1.04664921	5	5	80
-339.65	1.047735694	5	5	81
-339.4	1.049670819	5	5	82
-339.15	1.052082174	5	5	83
