CA	dQw
[CADaTDCF]	[J/CAD]
-132	0.00E+00
-131.994	-0.0705
-131.496	-0.067646586
-130.983	-0.057978558
-130.47	-0.051769981
-129.957	-0.047407407
-129.444	-0.043442495
-128.988	-0.041234649
-128.475	-0.039653021
-127.962	-0.038274854
-127.449	-0.037093567
-126.993	-0.036094298
-126.48	-0.035187135
-125.967	-0.034304094
-125.454	-0.033504873
-124.998	-0.032699561
-124.485	-0.032025341
-123.972	-0.031358674
-123.459	-0.030725146
-122.946	-0.030105263
-122.49	-0.029539474
-121.977	-0.028994152
-121.464	-0.028454191
-120.951	-0.027923977
-120.495	-0.027427632
-119.982	-0.026937622
-119.469	-0.026436647
-118.956	-0.025945419
-118.443	-0.025374269
-117.987	-0.024951754
-117.474	-0.024538012
-116.961	-0.024103314
-116.448	-0.023682261
-115.992	-0.023289474
-115.479	-0.022904483
-114.966	-0.022502924
-114.453	-0.022105263
-113.997	-0.021736842
-113.484	-0.02137232
-112.971	-0.020992203
-112.458	-0.020614035
-111.945	-0.020241715
-111.489	-0.019892544
-110.976	-0.019545809
-110.463	-0.019183236
-109.95	-0.018853801
-109.494	-0.018546053
-108.981	-0.018237817
-108.468	-0.017912281
-107.955	-0.017576998
-107.499	-0.017256579
-106.986	-0.01694152
-106.473	-0.01660039
-105.96	-0.016255361
-105.447	-0.015908382
-104.991	-0.015583333
-104.478	-0.015249513
-103.965	-0.014904483
-103.452	-0.014549708
-102.996	-0.014210526
-102.483	-0.013879142
-101.97	-0.013518519
-101.457	-0.013161793
-100.944	-0.01279922
-100.488	-0.012453947
-99.975	-0.012107212
-99.462	-0.01174269
-98.949	-0.01137232
-98.493	-0.011026316
-97.98	-0.010721248
-97.467	-0.010360624
-96.954	-0.010009747
-96.498	-0.009666667
-95.985	-0.009321637
-95.472	-0.008937622
-94.959	-0.008555556
-94.446	-0.008165692
-93.99	-0.007822368
-93.477	-0.007461988
-92.964	-0.007074074
-92.451	-0.006658869
-91.995	-0.006260965
-91.482	-0.0058577
-90.969	-0.005426901
-90.456	-0.004994152
-89.943	-0.004551657
-89.487	-0.004127193
-88.974	-0.003701754
-88.461	-0.003245614
-87.964	-0.002830986
-87.451	-0.002384016
-86.995	-0.001947368
-86.482	-0.001500975
-85.969	-0.001017544
-85.456	-0.000528265
-84.943	-2.53E-05
-84.487	0.000458333
-83.974	0.000947368
-83.461	0.001475634
-82.948	0.002015595
-82.492	0.002528509
-81.979	0.003054581
-81.466	0.003617934
-80.953	0.004192982
-80.497	0.004743421
-79.984	0.005306043
-79.471	0.005904483
-78.975	0.006497984
-78.462	0.007095517
-77.949	0.007727096
-77.493	0.008339912
-76.98	0.008964912
-76.467	0.009637427
-75.954	0.010325536
-75.498	0.010989035
-74.985	0.011664717
-74.472	0.012395712
-73.959	0.013140351
-73.446	0.013902534
-72.99	0.014633772
-72.477	0.015382066
-71.964	0.016196881
-71.451	0.017033138
-70.954	0.017871227
-70.498	0.018677632
-69.985	0.019524366
-69.472	0.020444444
-68.959	0.021378168
-68.446	0.022325536
-67.99	0.023247807
-67.477	0.024220273
-66.964	0.025269006
-66.451	0.026315789
-65.995	0.027326754
-65.482	0.028362573
-64.969	0.02948538
-64.456	0.030635478
-64	0.03175
-63.446	0.032998195
-62.99	0.034265351
-62.477	0.035504873
-61.964	0.036840156
-61.451	0.038208577
-60.995	0.039532895
-60.482	0.040892788
-59.969	0.04237037
-59.456	0.043912281
-59	0.045469298
-58.487	0.047009747
-57.974	0.048674464
-57.461	0.050432749
-56.948	0.052146199
-56.451	0.054024145
-55.995	0.055811404
-55.482	0.057645224
-54.969	0.059635478
-54.456	0.061711501
-54	0.063850877
-53.487	0.066105263
-52.974	0.06825731
-52.461	0.070467836
-51.948	0.072746589
-51.492	0.074962719
-50.979	0.077249513
-50.466	0.079904483
-49.981	0.082630928
-49.456	0.085893333
-49	0.088675439
-48.487	0.091526316
-47.974	0.094619883
-47.461	0.097853801
-46.948	0.101111111
-46.492	0.104236842
-45.979	0.10745809
-45.466	0.110996101
-44.953	0.114709552
-44.497	0.118304825
-43.984	0.121933723
-43.499	0.125789691
-42.943	0.130951439
-42.487	0.135287281
-41.974	0.13962768
-41.461	0.144327485
-40.948	0.149976608
-40.492	0.157399123
-39.979	0.166278752
-39.466	0.174282651
-38.953	0.180424951
-38.477	0.186107143
-37.998	0.191146138
-37.485	0.19694152
-36.972	0.204518519
-36.459	0.212719298
