CrankAngle [°KW]	Time [s n. Rechenbeginn]	Volume [m3]	Sum_V [m3]	T_m [K]	p_exp [bar]	p_0 [bar]	dQbU [J/s]	dQbU [J/KW]	dQbHf [J/KW]	QbU [J]	Qb/QbMax [J/CA]	dQw [J/KW]	Qw [J]	Qw/QbMax [-]	Sum_m [kg]	mGesK [kg]	dQbU_0 [J/CA]	dQbU_1 [J/CA]	dQbU_2 [J/CA]	dQbU_3 [J/CA]	dQbU_4 [J/CA]	dQbU_5 [J/CA]	dQbU_6 [J/CA]	dQbU_7 [J/CA]	dQbU_8 [J/CA]	dQbU_9 [J/CA]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_Zone_3 [K]	T_Zone_4 [K]	T_Zone_5 [K]	T_Zone_6 [K]	T_Zone_7 [K]	T_Zone_8 [K]	T_Zone_9 [K]	V_0 [K]	V_1 [K]	V_2 [K]	V_3 [K]	V_4 [K]	V_5 [K]	V_6 [K]	V_7 [K]	V_8 [K]	V_9 [K]	Lambda_0	Lambda_1	Lambda_2	Lambda_3	Lambda_4	Lambda_5	Lambda_6	Lambda_7	Lambda_8	Lambda_9	m_0 [kg]	m_1 [kg]	m_2 [kg]	m_3 [kg]	m_4 [kg]	m_5 [kg]	m_6 [kg]	m_7 [kg]	m_8 [kg]	m_9 [kg]	Hu_0 [J/kg]	Hu_1 [J/kg]	Hu_2 [J/kg]	Hu_3 [J/kg]	Hu_4 [J/kg]	Hu_5 [J/kg]	Hu_6 [J/kg]	Hu_7 [J/kg]	Hu_8 [J/kg]	Hu_9 [J/kg]	DOH [-]	Lam_1.7	Lam_2.1	Lam_2.5	Lam_2.9000000000000004	Lam_3.3000000000000003	Lam_3.7	Lam_4.1000000000000005	Lam_4.500000000000001	Lam_4.9	Lam_5.3
-10.98	 0.0	 3.612349576746456E-5	 3.612349576746456E-5	 855.3741864243718	 36.69375402920001	 37.78	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 5.591040378059528E-4	 5.591040378059528E-4	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 897.5235899190352	 891.0942782395015	 879.0055791741293	 875.5070474423298	 865.9514329416263	 864.1522028649612	 860.3301904637656	 855.8318176780235	 850.994677976038	 820.3559286100532	 9.87E-7	 2.15E-6	 2.68E-6	 3.66E-6	 3.29E-6	 2.98E-6	 3.47E-6	 3.74E-6	 4.32E-6	 8.846495767464565E-6	 1.9449466623209628	 2.272553342217133	 2.63155378237399	 2.9821156621135927	 3.3299662605226796	 3.6152441348780524	 3.9483371998189876	 4.353734685717549	 4.7218811173865065	 5.140334107648644	 1.45723124968267E-5	 3.1949096698942096E-5	 4.0363915100821196E-5	 5.53271721671859E-5	 5.02837356065707E-5	 4.5624892243530506E-5	 5.33565346173195E-5	 5.78084736225089E-5	 6.71496532928232E-5	 1.42668251959424E-4	 1378013.0550623997	 1189170.0221935573	 1038008.4786874776	 928985.5790281165	 843429.6040950185	 771925.4401854023	 711355.9251396781	 657157.7029626515	 614752.6455833749	 575115.0584353554	 0.2787297172297892	 0.0	 4.652140919576879E-5	 4.0363915100821196E-5	 5.53271721671859E-5	 5.02837356065707E-5	 4.5624892243530506E-5	 5.33565346173195E-5	 5.78084736225089E-5	 6.71496532928232E-5	 1.42668251959424E-4	 
-10.88	 8.77654906090925E-6	 3.602037209275107E-5	 3.602037209275104E-5	 856.9894752272988	 36.829646085200004	 37.9624455328613	 45488.29543363378	 3.992302565704211	 3.8035785542727836	 0.3992302565704211	 9.321806311673841E-4	 0.0	 0.0	 0.0	 5.591040378059525E-4	 5.591040378059528E-4	 0.6172263866509908	 0.84765154434983	 0.6755138526984261	 0.640761508664891	 0.40737942246202863	 0.2558399308710868	 0.2092934553506609	 0.15044056727159472	 0.11284294099255021	 0.07535295639215178	 901.9388823463944	 894.2724089971659	 881.3999245038112	 877.4882238006883	 867.6430903459164	 865.6409011947029	 861.678811406171	 857.068669114125	 852.1521212130716	 821.3893630444815	 9.876027259698952E-7	 2.1479721370705795E-6	 2.6749202850690245E-6	 3.6511395943077753E-6	 3.280920310545997E-6	 2.9709964402337428E-6	 3.458914367857208E-6	 3.7275452386895287E-6	 4.305197334490496E-6	 8.815163658516793E-6	 1.9449466623209632	 2.272553342217216	 2.631553782373984	 2.9821156621135705	 3.3299662605226796	 3.6152441348780533	 3.9483371998189902	 4.353734685717466	 4.721881117386487	 5.140334107648565	 1.4572312496826698E-5	 3.19490966989421E-5	 4.036391510082121E-5	 5.5327172167185816E-5	 5.02837356065707E-5	 4.562489224353055E-5	 5.3356534617319526E-5	 5.780847362250885E-5	 6.714965329282319E-5	 1.42668251959424E-4	 1373629.8298047178	 1186410.5058850632	 1036269.832266747	 927781.9730330649	 842592.121956106	 771346.6822542987	 710953.3144815521	 656892.7423489685	 614583.4004721106	 575063.4385925194	 0.2787297172297795	 0.0	 4.65214091957688E-5	 4.036391510082121E-5	 5.5327172167185816E-5	 5.02837356065707E-5	 4.562489224353055E-5	 5.3356534617319526E-5	 5.780847362250885E-5	 6.714965329282319E-5	 1.42668251959424E-4	 
-10.780000000000001	 1.75530981218185E-5	 3.5918173319914855E-5	 3.591817331991493E-5	 858.6010057237588	 36.9653585892	 38.14445490710772	 45489.918420605696	 3.9924450079520533	 3.8233375128573166	 0.7984747573656265	 0.001864394521814057	 0.0	 0.0	 0.0	 5.591040378059529E-4	 5.591040378059528E-4	 0.6002332352606699	 0.8439881966603303	 0.6812097640936621	 0.6447939312323214	 0.4122428254450483	 0.2578837079979124	 0.21090827406844426	 0.15210121126486342	 0.11400234265703801	 0.07508151927176243	 906.2709465210423	 897.4445440958452	 883.8044029393402	 879.4720700864697	 869.3383921233795	 867.1282256434414	 863.02442927234	 858.3021260342327	 853.3049859973186	 822.4164626544086	 9.880354866150184E-7	 2.145884269280132E-6	 2.669903360781616E-6	 3.6423789294072756E-6	 3.2719599383755705E-6	 2.962097450931237E-6	 3.447954544064217E-6	 3.715232631632657E-6	 4.2905598490188715E-6	 8.784166859808328E-6	 1.944946662320965	 2.272553342217216	 2.6315537823739756	 2.98211566211357	 3.3299662605226734	 3.6152441348780413	 3.948337199819025	 4.353734685717388	 4.7218811173865385	 5.140334107648566	 1.457231249682671E-5	 3.1949096698942136E-5	 4.036391510082123E-5	 5.532717216718587E-5	 5.02837356065707E-5	 4.562489224353059E-5	 5.335653461731955E-5	 5.7808473622508874E-5	 6.714965329282318E-5	 1.4266825195942407E-4	 1369355.8658350506	 1183664.0623124249	 1034518.5074271059	 926572.4220824632	 841746.2600323443	 770764.265104297	 710548.136272901	 656625.293856774	 614412.4594894716	 575011.8272619016	 0.27872971722978046	 0.0	 4.6521409195768846E-5	 4.036391510082123E-5	 5.532717216718587E-5	 5.02837356065707E-5	 4.562489224353059E-5	 5.335653461731955E-5	 5.7808473622508874E-5	 6.714965329282318E-5	 1.4266825195942407E-4	 
-10.68	 2.632964718272775E-5	 3.5816899959123904E-5	 3.5816899959123985E-5	 860.1877884747664	 37.1003528852	 38.325122314690994	 44333.682331636264	 3.890967380343713	 3.739780176839674	 1.1875714953999976	 0.002772913946072853	 0.0	 0.0	 0.0	 5.591040378059529E-4	 5.591040378059528E-4	 0.5561509005466325	 0.8052834543655508	 0.6700035203915355	 0.6360854549085282	 0.4115137158408544	 0.2572560367077692	 0.21074986093804426	 0.15266789544281067	 0.11474799533313984	 0.07650854586884748	 910.3597939601581	 900.5133103816077	 886.1785438494098	 881.4339153400625	 871.0228571926912	 868.6041655044755	 864.359208481614	 859.5255984343034	 854.4478034140379	 823.4335045731509	 9.881573358198794E-7	 2.143563037973447E-6	 2.66489043044314E-6	 3.633701809302135E-6	 3.263139494121014E-6	 2.953337011061649E-6	 3.4371684336192294E-6	 3.703118784813202E-6	 4.276158259584784E-6	 8.753665362385508E-6	 1.944946662320966	 2.272553342217219	 2.631553782373975	 2.982115662113567	 3.3299662605226814	 3.6152441348780076	 3.9483371998190466	 4.353734685717399	 4.721881117386541	 5.14033410764856	 1.4572312496826707E-5	 3.194909669894213E-5	 4.036391510082121E-5	 5.532717216718589E-5	 5.0283735606570726E-5	 4.5624892243530574E-5	 5.335653461731956E-5	 5.78084736225089E-5	 6.714965329282315E-5	 1.42668251959424E-4	 1365369.577385212	 1181031.6363270192	 1032790.9536698172	 925376.473509309	 840900.4471763053	 770182.4694549422	 710142.80462265	 656356.6504818876	 614240.2440700477	 574959.0701046627	 0.27872971722978057	 0.0	 4.652140919576883E-5	 4.036391510082121E-5	 5.532717216718589E-5	 5.0283735606570726E-5	 4.5624892243530574E-5	 5.335653461731956E-5	 5.78084736225089E-5	 6.714965329282315E-5	 1.42668251959424E-4	 
-10.58	 3.5106196243637E-5	 3.571655251594733E-5	 3.571655251594741E-5	 861.7431970331546	 37.2353471812	 38.50416882275315	 42816.145635922236	 3.75778002772707	 3.6224056009505823	 1.5633494981727045	 0.003650334858036453	 0.0	 0.0	 0.0	 5.591040378059528E-4	 5.591040378059528E-4	 0.5063475147112761	 0.7577065219159351	 0.6521484920992648	 0.6223516347668934	 0.4082226883819473	 0.25534561811294765	 0.20970472440254187	 0.1526464362416391	 0.11520779723174002	 0.07809859986288359	 914.1688922176121	 903.4529542697175	 888.5067127011388	 883.3644296372387	 872.6906419888907	 870.0648371841032	 865.680269662123	 860.7367755471037	 855.5787844992503	 824.4392111203739	 9.879527732676908E-7	 2.1409767087452235E-6	 2.659856465364318E-6	 3.6250965651698106E-6	 3.254458406741843E-6	 2.9447207957860086E-6	 3.426566054758262E-6	 3.691216484946278E-6	 4.2620096502128146E-6	 8.72369861095516E-6	 1.9449466623209617	 2.272553342217206	 2.6315537823739668	 2.982115662113529	 3.329966260522692	 3.6152441348779796	 3.948337199819035	 4.3537346857174	 4.721881117386553	 5.1403341076486155	 1.4572312496826707E-5	 3.1949096698942157E-5	 4.03639151008212E-5	 5.532717216718591E-5	 5.028373560657071E-5	 4.562489224353056E-5	 5.335653461731959E-5	 5.780847362250889E-5	 6.714965329282316E-5	 1.4266825195942385E-4	 1361715.9925340584	 1178542.787014206	 1031103.8697607106	 924203.1317077682	 840059.4764941747	 769603.8300396001	 709738.7535931352	 656087.627252081	 614067.0934906609	 574905.104757336	 0.2787297172297877	 0.0	 4.652140919576886E-5	 4.03639151008212E-5	 5.532717216718591E-5	 5.028373560657071E-5	 4.562489224353056E-5	 5.335653461731959E-5	 5.780847362250889E-5	 6.714965329282316E-5	 1.4266825195942385E-4	 
-10.48	 4.388274530454625E-5	 3.561713149135274E-5	 3.5617131491352706E-5	 863.2645726859821	 37.3696928404	 38.681488410785704	 41157.294667296585	 3.6121901586182714	 3.4904390062284976	 1.9245685140345317	 0.004493761338504985	 0.0	 0.0	 0.0	 5.591040378059528E-4	 5.591040378059528E-4	 0.4566937732128151	 0.707641436236468	 0.6306267287602907	 0.6058834958341208	 0.4032473009840843	 0.25258738101770817	 0.20806275843753497	 0.15221531377424213	 0.11543953600110513	 0.07979243435990213	 917.6957129835536	 906.2553250332355	 890.780435705448	 885.258760086807	 874.3383513905196	 871.5081405907969	 866.986168789402	 861.9345805851508	 856.6971808298835	 825.4332086404061	 9.87439755890899E-7	 2.138126730219195E-6	 2.654786964401097E-6	 3.616553995883436E-6	 3.2459107356362177E-6	 2.936247156374394E-6	 3.4161474376209914E-6	 3.6795268554625793E-6	 4.248116629535598E-6	 8.694275230328295E-6	 1.944946662320961	 2.2725533422172046	 2.6315537823739596	 2.982115662113528	 3.3299662605226783	 3.6152441348779796	 3.9483371998189987	 4.353734685717396	 4.721881117386577	 5.140334107648576	 1.4572312496826696E-5	 3.194909669894218E-5	 4.0363915100821196E-5	 5.532717216718586E-5	 5.0283735606570685E-5	 4.5624892243530553E-5	 5.335653461731958E-5	 5.7808473622508874E-5	 6.714965329282323E-5	 1.4266825195942393E-4	 1358399.455166398	 1176207.3950838377	 1029467.0137636082	 923057.6474366762	 839226.7756700718	 769030.2141214078	 709337.0736851128	 655818.877193205	 613893.3133608358	 574849.8880138781	 0.27872971722978573	 0.0	 4.652140919576887E-5	 4.0363915100821196E-5	 5.532717216718586E-5	 5.0283735606570685E-5	 4.5624892243530553E-5	 5.335653461731958E-5	 5.7808473622508874E-5	 6.714965329282323E-5	 1.4266825195942393E-4	 
-10.38	 5.26592943654555E-5	 3.5518637381702554E-5	 3.551863738170257E-5	 864.7512202504519	 37.5037605124	 38.8570579566166	 39465.71357749102	 3.463727714366423	 3.353540885924602	 2.270941285471174	 0.005302522657025069	 0.0	 0.0	 0.0	 5.591040378059529E-4	 5.591040378059528E-4	 0.41028080882761664	 0.6581035601867313	 0.6069455889338649	 0.5877560285676964	 0.39701181053834134	 0.24918845186419958	 0.20595956052069656	 0.15145650350042672	 0.11547118729264838	 0.08155421413420072	 920.9559625598589	 908.9206830869722	 892.9948339480823	 887.1141629811472	 875.963763319581	 872.9328224104202	 868.2761385563907	 863.1185168719868	 857.8027371967935	 826.4155468288232	 9.866519855880429E-7	 2.135029032919498E-6	 2.649672970729175E-6	 3.6080660039463E-6	 3.2374881801680605E-6	 2.927911077188763E-6	 3.4059079820682597E-6	 3.668045601464213E-6	 4.234475092562954E-6	 8.6653894550673E-6	 1.9449466623209573	 2.272553342217192	 2.6315537823739845	 2.9821156621135265	 3.329966260522664	 3.6152441348779907	 3.9483371998190457	 4.353734685717416	 4.721881117386542	 5.1403341076485765	 1.4572312496826696E-5	 3.19490966989422E-5	 4.0363915100821196E-5	 5.532717216718583E-5	 5.02837356065707E-5	 4.562489224353055E-5	 5.335653461731959E-5	 5.7808473622508847E-5	 6.714965329282323E-5	 1.42668251959424E-4	 1355401.7671969535	 1174025.6412890228	 1027886.4612101357	 921943.3767125099	 838405.0005455622	 768463.1000024048	 708938.6578048787	 655550.9629312914	 613719.1911499788	 574793.3880165122	 0.278729717229785	 0.0	 4.6521409195768894E-5	 4.0363915100821196E-5	 5.532717216718583E-5	 5.02837356065707E-5	 4.562489224353055E-5	 5.335653461731959E-5	 5.7808473622508847E-5	 6.714965329282323E-5	 1.42668251959424E-4	 
-10.280000000000001	 6.143584342636476E-5	 3.542107067875183E-5	 3.5421070678751844E-5	 866.2036216273519	 37.63764973720001	 39.03090148892452	 37806.27676384952	 3.3180864282823874	 3.2176507229985853	 2.6027499282994127	 0.006077277538469937	 0.0	 0.0	 0.0	 5.59104037805953E-4	 5.591040378059528E-4	 0.36877896693228157	 0.6108934091117924	 0.5821112987049304	 0.5686401954886833	 0.38980028048170473	 0.24528481535712743	 0.20347996468252919	 0.15041805579734557	 0.11531869594332278	 0.08336074578267016	 923.9755361754065	 911.4543887069937	 895.1473941488762	 888.929187021053	 877.5653905543254	 874.3381404249503	 869.5498038469904	 864.288414423867	 858.8954735650182	 827.3865094032487	 9.85629900420507E-7	 2.1317072079421173E-6	 2.644509482816858E-6	 3.5996255045829963E-6	 3.229181511813751E-6	 2.919705869061849E-6	 3.3958406571005497E-6	 3.6567655259289085E-6	 4.221077313507457E-6	 8.63702770557685E-6	 1.9449466623209506	 2.272553342217191	 2.631553782373984	 2.9821156621135185	 3.3299662605226708	 3.6152441348780133	 3.9483371998190187	 4.353734685717392	 4.721881117386559	 5.14033410764854	 1.4572312496826696E-5	 3.194909669894219E-5	 4.03639151008212E-5	 5.532717216718584E-5	 5.028373560657072E-5	 4.5624892243530553E-5	 5.335653461731961E-5	 5.7808473622508806E-5	 6.714965329282323E-5	 1.4266825195942423E-4	 1352691.777097404	 1171991.671027358	 1026365.7682999677	 920862.457048834	 837596.261973603	 767903.6847145263	 708544.2570397981	 655284.3826938651	 613545.0011716768	 574735.5809336887	 0.27872971722978235	 0.0	 4.652140919576889E-5	 4.03639151008212E-5	 5.532717216718584E-5	 5.028373560657072E-5	 4.5624892243530553E-5	 5.335653461731961E-5	 5.7808473622508806E-5	 6.714965329282323E-5	 1.4266825195942423E-4	 
-10.18	 7.0212392487274E-5	 3.532443186964443E-5	 3.5324431869644514E-5	 867.6229812246279	 37.7708251732	 39.20307020336178	 36218.66684939233	 3.1787490652441925	 3.086528017760161	 2.920624834823832	 0.006819497914104063	 0.0	 0.0	 0.0	 5.59104037805953E-4	 5.591040378059528E-4	 0.33291061348966533	 0.5671076164641597	 0.556871733772315	 0.5490262897079745	 0.38183420494645404	 0.24098371183271183	 0.20068886942816277	 0.1491357055088116	 0.11499420197552013	 0.08519611811841798	 926.7850475357418	 913.8649704022521	 897.2373310975377	 890.7032878666645	 879.1422640542754	 875.7236973940953	 870.8070369715675	 865.44429882179	 859.9755675126784	 828.3465089032054	 9.844151748227553E-7	 2.1281886995807304E-6	 2.639294643167782E-6	 3.591226621076787E-6	 3.2209814426766476E-6	 2.9116241664191326E-6	 3.385937265083134E-6	 3.645677959979838E-6	 4.207913672443041E-6	 8.609172224394666E-6	 1.9449466623209446	 2.272553342217189	 2.6315537823739787	 2.982115662113516	 3.329966260522664	 3.615244134878024	 3.948337199819024	 4.353734685717435	 4.721881117386569	 5.140334107648514	 1.4572312496826703E-5	 3.194909669894219E-5	 4.036391510082119E-5	 5.532717216718584E-5	 5.028373560657067E-5	 4.562489224353053E-5	 5.335653461731958E-5	 5.780847362250882E-5	 6.71496532928232E-5	 1.4266825195942425E-4	 1350232.101256638	 1170095.7741299104	 1024906.5714681959	 919816.11568908	 836802.2363516748	 767352.9354259884	 708154.5066540865	 655019.580430188	 613371.0048629056	 574676.4492363277	 0.27872971722978174	 0.0	 4.6521409195768894E-5	 4.036391510082119E-5	 5.532717216718584E-5	 5.028373560657067E-5	 4.562489224353053E-5	 5.335653461731958E-5	 5.780847362250882E-5	 6.71496532928232E-5	 1.4266825195942425E-4	 
-10.08	 7.898894154818325E-5	 3.5228721436910675E-5	 3.522872143691064E-5	 869.0109232520059	 37.904000609200004	 39.373629836582616	 34725.85235615676	 3.0477314688570094	 2.96244742491657	 3.225397981709533	 0.0075311264035561615	 0.0	 0.0	 0.0	 5.591040378059529E-4	 5.591040378059528E-4	 0.3027549904357407	 0.5273654617963608	 0.5318031731838069	 0.5292972064742685	 0.37329856940027994	 0.23637405830211122	 0.19764100734644074	 0.14763967617621887	 0.11450868786308632	 0.08704863787869499	 929.4160376852927	 916.1627981009491	 899.2651673019191	 892.4365956763406	 880.6938024463437	 877.0893367188842	 872.047870903334	 866.5863124953053	 861.0432822611726	 829.2960206420427	 9.83047393596038E-7	 2.124502410292419E-6	 2.634029163140874E-6	 3.582864827658469E-6	 3.2128791639739952E-6	 2.9036585350588017E-6	 3.3761892340463552E-6	 3.6347736585002626E-6	 4.1949737291406E-6	 8.581803321502824E-6	 1.9449466623209357	 2.2725533422171846	 2.6315537823739805	 2.9821156621135176	 3.329966260522651	 3.615244134878004	 3.9483371998190226	 4.353734685717441	 4.72188111738658	 5.140334107648506	 1.4572312496826707E-5	 3.194909669894218E-5	 4.0363915100821155E-5	 5.532717216718584E-5	 5.028373560657067E-5	 4.5624892243530506E-5	 5.335653461731953E-5	 5.780847362250881E-5	 6.714965329282319E-5	 1.4266825195942425E-4	 1347983.8987713885	 1168325.9214786806	 1023508.98865722	 918804.853207645	 836024.2311788487	 766811.6241854687	 707769.9411573329	 654756.9511207581	 613197.4500843037	 574615.9807608412	 0.27872971722978246	 0.0	 4.652140919576889E-5	 4.0363915100821155E-5	 5.532717216718584E-5	 5.028373560657067E-5	 4.5624892243530506E-5	 5.335653461731953E-5	 5.780847362250881E-5	 6.714965329282319E-5	 1.4266825195942425E-4	 
