[KWnEO]	[mm]
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0.00879495
10	0.03601759
11	0.06837418
12	0.10555648
13	0.1468574
14	0.18796069
15	0.2305567
16	0.27635624
17	0.33067701
18	0.39292879
19	0.46263876
20	0.53902327
21	0.62118735
22	0.70776625
23	0.79873274
24	0.89303647
25	0.99072401
26	1.09039149
27	1.19242834
28	1.2961219
29	1.40084937
30	1.50508894
31	1.60711327
32	1.70550719
33	1.79945261
34	1.8936873
35	1.9901347
36	2.08919537
37	2.18824286
38	2.28750619
39	2.38858652
40	2.49127541
41	2.59532675
42	2.70063793
43	2.80691839
44	2.91464505
45	3.02373402
46	3.1342729
47	3.2456101
48	3.35737002
49	3.46910867
50	3.58016289
51	3.69018815
52	3.79886803
53	3.90583519
54	4.01041226
55	4.11186809
56	4.21139972
57	4.30962351
58	4.40738489
59	4.50390861
60	4.59924972
61	4.69348453
62	4.78667901
63	4.87888601
64	4.97014333
65	5.06047208
66	5.14987623
67	5.23834328
68	5.32584516
69	5.41233891
70	5.49776776
71	5.58206351
72	5.66515189
73	5.74697278
74	5.82748306
75	5.9066524
76	5.98444974
77	6.06085126
78	6.1358544
79	6.20946513
80	6.28168824
81	6.35251586
82	6.4219365
83	6.48993513
84	6.55649131
85	6.62157325
86	6.68516855
87	6.74728222
88	6.80794287
89	6.86717283
90	6.92499226
91	6.98141886
92	7.03646626
93	7.09014251
94	7.14244912
95	7.19338138
96	7.24292868
97	7.29107438
98	7.3377954
99	7.3830609
100	7.42684048
101	7.46910867
102	7.50984834
103	7.54904587
104	7.58669481
105	7.62281284
106	7.65742291
107	7.69054826
108	7.72219364
109	7.75236121
110	7.78104818
111	7.80824678
112	7.83394455
113	7.85812511
114	7.88076917
115	7.9018557
116	7.92136544
117	7.93928384
118	7.95560453
119	7.97033322
120	7.98348413
121	7.99507564
122	8.00512335
123	8.01364087
124	8.02064008
125	8.02613087
126	8.03012072
127	8.03261479
128	8.0336175
129	8.03313303
130	8.03116522
131	8.02771602
132	8.02278525
133	8.01637099
134	8.00847061
135	7.99908191
136	7.98820234
137	7.97582817
138	7.96195357
139	7.94657132
140	7.929673
141	7.91124934
142	7.89129243
143	7.86979778
144	7.8467653
145	7.82219822
146	7.79610237
147	7.76848598
148	7.73935826
149	7.70872786
150	7.67660105
151	7.64298127
152	7.60786882
153	7.57126104
154	7.53315242
155	7.49353509
156	7.45239909
157	7.40973702
158	7.36554775
159	7.31983841
160	7.27262205
161	7.22391582
162	7.17373948
163	7.12211281
164	7.06905233
165	7.01456977
166	6.95867077
167	6.90134439
168	6.84258495
169	6.7824023
170	6.72083031
171	6.65790461
172	6.5936526
173	6.52809505
174	6.46124593
175	6.39311382
176	6.32370539
177	6.25302594
178	6.18107729
179	6.10785338
180	6.03334021
181	5.95752137
182	5.88038158
183	5.80191043
184	5.72210459
185	5.6409697
186	5.55852236
187	5.47480358
188	5.38986899
189	5.30377774
190	5.21657427
191	5.12829831
192	5.03899001
193	4.94868645
194	4.8574158
195	4.76519355
196	4.67201969
197	4.57787126
198	4.4826854
199	4.38641126
200	4.28904542
201	4.19065168
202	4.09131625
203	3.99112227
204	3.89014136
205	3.78828424
206	3.68562199
207	3.58213149
208	3.47808273
209	3.37360337
210	3.26892958
211	3.16388183
212	3.05854075
213	2.95299462
214	2.84760536
215	2.74228659
216	2.63698713
217	2.53166716
218	2.42652389
219	2.32173095
220	2.21742787
221	2.11333866
222	2.00941487
223	1.90476977
224	1.79981134
225	1.69469328
226	1.59044922
227	1.48719406
228	1.38528615
229	1.28517277
230	1.1864059
231	1.08971919
232	0.99528267
233	0.90502696
234	0.81884577
235	0.73685072
236	0.65869054
237	0.58466209
238	0.51524567
239	0.449626
240	0.38701081
241	0.32704596
242	0.27000029
243	0.21701494
244	0.16833877
245	0.12454234
246	0.08514044
247	0.05026429
248	0.01967161
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
