Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_Original [bar]	LWAideal [bar]	p_mitWandwärmeverlust [bar]	p_realer Brennverlauf [bar]	p_HC_CO [bar]	p_Verbrennungslage [bar]	p_Reale Ladung [bar]	p_Gleichraumprozess [bar] 
0.0	 -0.01848290331443415	 4.031769229125046E-5	 0.9710273521688926	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-359.0	 -0.01839964699319796	 4.033453205424812E-5	 0.9667250775193784	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-358.0	 -0.01831639067196177	 4.0439465216439126E-5	 0.9581093626257591	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-357.0	 -0.018233134350725582	 4.063243298753602E-5	 0.9507060972785697	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-356.0	 -0.01814987802948939	 4.0913333282648386E-5	 0.9425080825004053	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-355.0	 -0.0180666217082532	 4.128202079289849E-5	 0.9343189755236593	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-354.0	 -0.01798336538701701	 4.1738307083073196E-5	 0.9262860547913471	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-353.0	 -0.017900109065780823	 4.2281960716301404E-5	 0.9186764451261636	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-352.0	 -0.017816852744544632	 4.291270740574986E-5	 0.911713671383792	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-351.0	 -0.01773359642330844	 4.363023019331916E-5	 0.9054182002968708	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-350.0	 -0.01765034010207225	 4.443416965533282E-5	 0.899541082962217	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-349.0	 -0.017567083780836063	 4.532412413519884E-5	 0.8938304470394058	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-348.0	 -0.017483827459599872	 4.629965000302643E-5	 0.8882811097146484	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-347.0	 -0.01740057113836368	 4.736026194217785E-5	 0.8829665117268529	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-346.0	 -0.01731731481712749	 4.850543326272632E-5	 0.8778637361372105	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-345.0	 -0.017234058495891304	 4.973459624179077E-5	 0.8729819394688942	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-344.0	 -0.017150802174655113	 5.104714249071031E-5	 0.8684707741052138	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-343.0	 -0.017067545853418922	 5.244242334901407E-5	 0.864519461289777	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-342.0	 -0.01698428953218273	 5.39197503051353E-5	 0.8610484419923996	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-341.0	 -0.016901033210946544	 5.547839544380837E-5	 0.8575625337951354	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-340.0	 -0.016817776889710354	 5.711759192007818E-5	 0.8535011839353257	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-339.0	 -0.016734520568474163	 5.88365344598427E-5	 0.8486700600692484	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-338.0	 -0.016651264247237972	 6.0634379886825484E-5	 0.843284090087389	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-337.0	 -0.016568007926001785	 6.25102476758801E-5	 0.8377574663037827	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-336.0	 -0.016484751604765594	 6.446322053249279E-5	 0.8324614073560677	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-335.0	 -0.016401495283529403	 6.649234499834777E-5	 0.8275056179778727	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-334.0	 -0.016318238962293213	 6.859663208279093E-5	 0.8227530914398542	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-333.0	 -0.016234982641057025	 7.077505792001622E-5	 0.8181264831271379	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-332.0	 -0.016151726319820835	 7.302656445176757E-5	 0.81364099534881	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-331.0	 -0.016068469998584644	 7.5350060135337E-5	 0.8092870962559516	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-330.0	 -0.015985213677348453	 7.774442067660597E-5	 0.805049925647342	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-329.0	 -0.015901957356112266	 8.020848978785123E-5	 0.8009667937654357	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-328.0	 -0.015818701034876075	 8.274107997001543E-5	 0.7970484598053501	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-327.0	 -0.015735444713639885	 8.534097331910193E-5	 0.7933559950519292	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-326.0	 -0.015652188392403694	 8.800692235633347E-5	 0.7900490876463571	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-325.0	 -0.015568932071167505	 9.073765088166461E-5	 0.7871591225795603	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-324.0	 -0.015485675749931316	 9.353185485022533E-5	 0.7845148762988409	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-323.0	 -0.015402419428695125	 9.638820327121286E-5	 0.7818768883720711	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-322.0	 -0.015319163107458936	 9.930533912872727E-5	 0.7791843603826266	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-321.0	 -0.015235906786222745	 1.0228188032400013E-4	 0.7765780571334111	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-320.0	 -0.015152650464986556	 1.0531642063842499E-4	 0.7741758883060987	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-319.0	 -0.015069394143750366	 1.0840753071675362E-4	 0.7719819963714147	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-318.0	 -0.014986137822514177	 1.1155375906978586E-4	 0.77015647976248	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-317.0	 -0.014902881501277986	 1.1475363309582399E-4	 0.769050640903837	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-316.0	 -0.014819625180041797	 1.1800566012012975E-4	 0.7688410899554694	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-315.0	 -0.014736368858805606	 1.2130832845156308E-4	 0.7692388120072623	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-314.0	 -0.014653112537569417	 1.2466010845554393E-4	 0.7697716800263945	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-313.0	 -0.014569856216333226	 1.2805945364242303E-4	 0.7702420546264276	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-312.0	 -0.014486599895097037	 1.3150480177030486E-4	 0.7708209637143407	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-311.0	 -0.014403343573860847	 1.349945759613096E-4	 0.7718504270493296	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-310.0	 -0.014320087252624656	 1.3852718583022387E-4	 0.77345553076037	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-309.0	 -0.014236830931388467	 1.4210102862442623E-4	 0.7754697296388168	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-308.0	 -0.014153574610152278	 1.4571449037394E-4	 0.7777401003134031	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-307.0	 -0.014070318288916087	 1.4936594705040957E-4	 0.7801852849084903	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-306.0	 -0.013987061967679897	 1.5305376573375058E-4	 0.782749401154575	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-305.0	 -0.013903805646443708	 1.5677630578518487E-4	 0.7855222404750473	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-304.0	 -0.013820549325207519	 1.6053192002532003E-4	 0.7885819847600583	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
