[KWnEO]	[mm]
0	0.000584
2	0.0021
4	0.0079
6	0.01848
8	0.03457
10	0.05663
12	0.0848
14	0.11894
16	0.1586
18	0.20312
20	0.2515
22	0.3022
24	0.35323
26	0.40415
28	0.45547
30	0.51137
32	0.57836
34	0.66205
36	0.76624
38	0.89337
40	1.0451
42	1.22262
44	1.42673
46	1.65793
48	1.91637
50	2.20175
52	2.51297
54	2.8475
56	3.19958
58	3.56183
60	3.92847
62	4.2958
64	4.66132
66	5.0232
68	5.38006
70	5.73082
72	6.07459
74	6.41066
76	6.73842
78	7.05736
80	7.36704
82	7.66709
84	7.95717
86	8.237
88	8.50634
90	8.76497
92	9.01268
94	9.24922
96	9.47447
98	9.68828
100	9.89052
102	10.08108
104	10.25988
106	10.42685
108	10.58191
110	10.72501
112	10.85611
114	10.97517
116	11.08215
118	11.17703
120	11.25977
122	11.33036
124	11.38875
126	11.43494
128	11.46889
130	11.49058
132	11.5
134	11.49713
136	11.48197
138	11.45449
140	11.41471
142	11.36261
144	11.29821
146	11.22151
148	11.13252
150	11.03127
152	10.91779
154	10.7921
156	10.65424
158	10.50427
160	10.34224
162	10.16821
164	9.98225
166	9.78445
168	9.5749
170	9.3537
172	9.12098
174	8.87688
176	8.62166
178	8.35552
180	8.07872
182	7.7915
184	7.4942
186	7.18716
188	6.8708
190	6.5456
192	6.21213
194	5.87105
196	5.52316
198	5.1694
200	4.81095
202	4.44924
204	4.0861
206	3.72398
208	3.36617
210	3.0171
212	2.68287
214	2.37027
216	2.08336
218	1.82346
220	1.59079
222	1.38519
224	1.20627
226	1.05339
228	0.92568
230	0.82186
232	0.74001
234	0.67654
236	0.62437
238	0.57788
240	0.53422
242	0.49178
244	0.44976
246	0.40779
248	0.36573
250	0.32356
252	0.28132
254	0.23902
256	0.19679
258	0.15487
260	0.11494
262	0.07999
264	0.05146
266	0.0298
268	0.01493
270	0.00611
272	0.00244
274	0
