[KWnZOT]	[bar]	[bar]	[bar]
-360	2.8335	2.2859	2.8009
-359.9	2.8284	2.2858	2.7994
-359.8	2.8199	2.2858	2.798
-359.7	2.8184	2.2864	2.7974
-359.6	2.8105	2.2863	2.7947
-359.5	2.807	2.2864	2.794
-359.4	2.8028	2.2865	2.7928
-359.3	2.7983	2.2866	2.79
-359.2	2.7909	2.2865	2.7895
-359.1	2.7852	2.287	2.7881
-359	2.7791	2.2869	2.7857
-358.9	2.7725	2.2869	2.7846
-358.8	2.7682	2.287	2.7833
-358.7	2.7626	2.2876	2.7818
-358.6	2.7561	2.2873	2.7793
-358.5	2.7519	2.2876	2.7787
-358.4	2.7478	2.288	2.7777
-358.3	2.7413	2.2876	2.7743
-358.2	2.7348	2.2881	2.7746
-358.1	2.7286	2.2879	2.7724
-358	2.7243	2.2888	2.7716
-357.9	2.718	2.2881	2.7705
-357.8	2.7106	2.2883	2.7689
-357.7	2.7067	2.2884	2.7682
-357.6	2.7017	2.2886	2.7674
-357.5	2.694	2.289	2.7661
-357.4	2.6884	2.289	2.765
-357.3	2.6812	2.2887	2.7626
-357.2	2.6755	2.2889	2.7619
-357.1	2.6697	2.2892	2.7611
-357	2.6651	2.289	2.7587
-356.9	2.6576	2.2893	2.7583
-356.8	2.6523	2.2899	2.7582
-356.7	2.6451	2.2895	2.7556
-356.6	2.6375	2.2893	2.7556
-356.5	2.6318	2.2893	2.7545
-356.4	2.6266	2.2892	2.7538
-356.3	2.6197	2.2885	2.7527
-356.2	2.6148	2.2886	2.7524
-356.1	2.6094	2.2883	2.7517
-356	2.6007	2.2878	2.75
-355.9	2.5935	2.2878	2.7503
-355.8	2.5909	2.2875	2.7487
-355.7	2.5825	2.2867	2.7472
-355.6	2.5778	2.2867	2.7465
-355.5	2.572	2.2867	2.7461
-355.4	2.5657	2.2861	2.7445
-355.3	2.5589	2.2865	2.7454
-355.2	2.5553	2.286	2.744
-355.1	2.5481	2.286	2.7438
-355	2.5442	2.2849	2.7427
-354.9	2.5371	2.285	2.7427
-354.8	2.5329	2.2843	2.7417
-354.7	2.5253	2.2839	2.7418
-354.6	2.5209	2.2831	2.7408
-354.5	2.5154	2.2833	2.7421
-354.4	2.5101	2.2823	2.7403
-354.3	2.5041	2.2814	2.7405
-354.2	2.4996	2.2814	2.7399
-354.1	2.4966	2.2807	2.7396
-354	2.4885	2.2798	2.7395
-353.9	2.4843	2.2798	2.7391
-353.8	2.4817	2.279	2.7396
-353.7	2.4756	2.2779	2.7384
-353.6	2.4701	2.278	2.7392
-353.5	2.4666	2.2767	2.7377
-353.4	2.4635	2.2761	2.7383
-353.3	2.4602	2.2758	2.7382
-353.2	2.4554	2.2752	2.7384
-353.1	2.4499	2.2738	2.7381
-353	2.4474	2.2735	2.7387
-352.9	2.4436	2.2725	2.739
-352.8	2.4395	2.2718	2.7387
-352.7	2.4364	2.2707	2.7384
-352.6	2.4313	2.2701	2.74
-352.5	2.4286	2.2692	2.739
-352.4	2.4271	2.268	2.7386
-352.3	2.4218	2.2673	2.739
-352.2	2.4218	2.2665	2.7397
-352.1	2.4171	2.2657	2.7387
-352	2.4148	2.2651	2.7404
-351.9	2.4133	2.2643	2.7402
-351.8	2.4101	2.263	2.7402
-351.7	2.4093	2.2627	2.7414
-351.6	2.4085	2.2617	2.7414
-351.5	2.4027	2.2614	2.7428
-351.4	2.4016	2.26	2.743
-351.3	2.4	2.2589	2.7433
-351.2	2.3993	2.2579	2.743
-351.1	2.3968	2.2568	2.7448
-351	2.3966	2.2557	2.7457
-350.9	2.3971	2.255	2.7469
-350.8	2.3926	2.2538	2.7473
-350.7	2.394	2.2529	2.7484
-350.6	2.3928	2.2523	2.7493
-350.5	2.3903	2.2511	2.7503
-350.4	2.3908	2.2508	2.7527
-350.3	2.3907	2.2504	2.7538
-350.2	2.39	2.2492	2.7549
-350.1	2.3886	2.2485	2.7559
-350	2.3896	2.2479	2.7568
-349.9	2.3878	2.2463	2.7572
-349.8	2.3905	2.2457	2.7592
-349.7	2.3895	2.2444	2.7598
-349.6	2.3877	2.2432	2.7614
-349.5	2.3888	2.2421	2.7621
-349.4	2.3885	2.2409	2.7635
-349.3	2.3859	2.2394	2.7644
-349.2	2.3878	2.2388	2.7667
-349.1	2.3885	2.2378	2.7681
-349	2.3881	2.2369	2.7694
-348.9	2.3894	2.2354	2.7701
-348.8	2.3908	2.2352	2.7723
-348.7	2.3892	2.2339	2.7735
-348.6	2.3901	2.2329	2.7745
-348.5	2.3898	2.2326	2.7772
-348.4	2.3907	2.2307	2.777
-348.3	2.3908	2.2303	2.78
-348.2	2.3906	2.2296	2.7816
-348.1	2.391	2.2281	2.7818
-348	2.3919	2.2269	2.7834
-347.9	2.3912	2.2265	2.7859
-347.8	2.3903	2.225	2.7862
-347.7	2.3921	2.2241	2.7883
-347.6	2.3907	2.223	2.7893
-347.5	2.3936	2.222	2.7907
-347.4	2.3916	2.2209	2.7916
-347.3	2.3936	2.2201	2.7938
-347.2	2.3919	2.2192	2.7942
-347.1	2.3935	2.2183	2.7962
-347	2.3922	2.2174	2.7979
-346.9	2.3923	2.217	2.7999
-346.8	2.3942	2.2156	2.8004
-346.7	2.3909	2.2149	2.8028
-346.6	2.3939	2.2142	2.804
-346.5	2.3929	2.2128	2.8047
-346.4	2.3942	2.2117	2.8064
-346.3	2.3929	2.2108	2.808
-346.2	2.3937	2.2096	2.8088
-346.1	2.3933	2.2083	2.8102
-346	2.3941	2.2081	2.8126
-345.9	2.392	2.2065	2.8127
-345.8	2.393	2.2062	2.8151
-345.7	2.3931	2.2056	2.8164
-345.6	2.3933	2.2048	2.8172
-345.5	2.3941	2.2038	2.8183
