[KWnZOT]	[bar]	[bar]	[bar]
-360.0000	1.4891	1.4891	1.4891
-359.5000	1.4622	1.4622	1.4622
-359.0000	1.4487	1.4487	1.4487
-358.5000	1.4358	1.4358	1.4358
-358.0000	1.4036	1.4036	1.4036
-357.5000	1.3898	1.3898	1.3898
-357.0000	1.3817	1.3817	1.3817
-356.5000	1.3647	1.3647	1.3647
-356.0000	1.3302	1.3302	1.3302
-355.5000	1.3231	1.3231	1.3231
-355.0000	1.3205	1.3205	1.3205
-354.5000	1.3085	1.3085	1.3085
-354.0000	1.2762	1.2762	1.2762
-353.5000	1.2802	1.2802	1.2802
-353.0000	1.2848	1.2848	1.2848
-352.5000	1.2651	1.2651	1.2651
-352.0000	1.2559	1.2559	1.2559
-351.5000	1.2654	1.2654	1.2654
-351.0000	1.2552	1.2552	1.2552
-350.5000	1.2219	1.2219	1.2219
-350.0000	1.2388	1.2388	1.2388
-349.5000	1.2539	1.2539	1.2539
-349.0000	1.2445	1.2445	1.2445
-348.5000	1.2106	1.2106	1.2106
-348.0000	1.2228	1.2228	1.2228
-347.5000	1.2343	1.2343	1.2343
-347.0000	1.2341	1.2341	1.2341
-346.5000	1.2110	1.2110	1.2110
-346.0000	1.2237	1.2237	1.2237
-345.5000	1.2366	1.2366	1.2366
-345.0000	1.2328	1.2328	1.2328
-344.5000	1.2062	1.2062	1.2062
-344.0000	1.2277	1.2277	1.2277
-343.5000	1.2354	1.2354	1.2354
-343.0000	1.2226	1.2226	1.2226
-342.5000	1.2162	1.2162	1.2162
-342.0000	1.2360	1.2360	1.2360
-341.5000	1.2326	1.2326	1.2326
-341.0000	1.2023	1.2023	1.2023
-340.5000	1.2136	1.2136	1.2136
-340.0000	1.2354	1.2354	1.2354
-339.5000	1.2284	1.2284	1.2284
-339.0000	1.2048	1.2048	1.2048
-338.5000	1.2130	1.2130	1.2130
-338.0000	1.2205	1.2205	1.2205
-337.5000	1.2127	1.2127	1.2127
-337.0000	1.2083	1.2083	1.2083
-336.5000	1.2264	1.2264	1.2264
-336.0000	1.2211	1.2211	1.2211
-335.5000	1.2020	1.2020	1.2020
-335.0000	1.2079	1.2079	1.2079
-334.5000	1.2255	1.2255	1.2255
-334.0000	1.2254	1.2254	1.2254
-333.5000	1.1984	1.1984	1.1984
-333.0000	1.2134	1.2134	1.2134
-332.5000	1.2325	1.2325	1.2325
-332.0000	1.2297	1.2297	1.2297
-331.5000	1.2203	1.2203	1.2203
-331.0000	1.2232	1.2232	1.2232
-330.5000	1.2313	1.2313	1.2313
-330.0000	1.2291	1.2291	1.2291
-329.5000	1.2276	1.2276	1.2276
-329.0000	1.2328	1.2328	1.2328
-328.5000	1.2403	1.2403	1.2403
-328.0000	1.2341	1.2341	1.2341
-327.5000	1.2372	1.2372	1.2372
-327.0000	1.2371	1.2371	1.2371
-326.5000	1.2349	1.2349	1.2349
-326.0000	1.2269	1.2269	1.2269
-325.5000	1.2296	1.2296	1.2296
-325.0000	1.2366	1.2366	1.2366
-324.5000	1.2347	1.2347	1.2347
-324.0000	1.2267	1.2267	1.2267
-323.5000	1.2209	1.2209	1.2209
-323.0000	1.2300	1.2300	1.2300
-322.5000	1.2261	1.2261	1.2261
-322.0000	1.2104	1.2104	1.2104
-321.5000	1.2123	1.2123	1.2123
-321.0000	1.2145	1.2145	1.2145
-320.5000	1.2099	1.2099	1.2099
-320.0000	1.1957	1.1957	1.1957
-319.5000	1.1972	1.1972	1.1972
-319.0000	1.2038	1.2038	1.2038
-318.5000	1.1975	1.1975	1.1975
-318.0000	1.1902	1.1902	1.1902
-317.5000	1.1942	1.1942	1.1942
-317.0000	1.1970	1.1970	1.1970
-316.5000	1.1870	1.1870	1.1870
-316.0000	1.1855	1.1855	1.1855
-315.5000	1.1942	1.1942	1.1942
-315.0000	1.1912	1.1912	1.1912
-314.5000	1.1837	1.1837	1.1837
-314.0000	1.1891	1.1891	1.1891
-313.5000	1.1909	1.1909	1.1909
-313.0000	1.1818	1.1818	1.1818
-312.5000	1.1821	1.1821	1.1821
-312.0000	1.1861	1.1861	1.1861
-311.5000	1.1877	1.1877	1.1877
-311.0000	1.1775	1.1775	1.1775
-310.5000	1.1878	1.1878	1.1878
-310.0000	1.1913	1.1913	1.1913
-309.5000	1.1835	1.1835	1.1835
-309.0000	1.1806	1.1806	1.1806
-308.5000	1.1867	1.1867	1.1867
