t	L	rho	pS	cpl	cpd	waermeLeit	dynVis	waermeLeitLuft	dynVisLuft
300.0	 360112.17949533404	 762.93722	 71.57464337348938	 2220.3463129585434	 1652.0320087671528	 0.14403734870688822	 0.00218	 0.028399884173495593	 1.9289492722553646E-5	 
310.0	 356226.8446983174	 756.4166848	 71.57464337348938	 2251.926593395758	 1695.9230967741512	 0.14246386484160212	 0.00218	 0.028860160961421855	 1.9760697553575734E-5	 
320.0	 352343.7776190006	 749.8025232000001	 71.57464337348938	 2283.9560443550095	 1740.0146157152428	 0.14084801066496766	 0.00218	 0.029505379495113004	 2.02112599109863E-5	 
330.0	 348453.84829574754	 743.0947352000001	 71.57464337348938	 2316.441054448274	 1784.1993826703317	 0.13899640306522087	 0.00218	 0.030245412627451174	 2.064868145226805E-5	 
340.0	 344546.1358632491	 736.2933208000001	 71.57464337348938	 2349.388103153608	 1828.3797758672529	 0.13695920624672908	 0.00218	 0.03102222678653277	 2.1077926985758E-5	 
350.0	 340607.9101870438	 729.39828	 71.57464337348938	 2382.8037621075414	 1872.467309367374	 0.1348395518864436	 0.00218	 0.03180115828389063	 2.1502075440503628E-5	 
360.0	 336624.6289980714	 722.4096128	 71.57464337348938	 2416.6946964158647	 1916.3822017991681	 0.13271221110449005	 0.00218	 0.032563969908530055	 2.192284556073261E-5	 
370.0	 332579.9505272482	 715.3273192000001	 265.52714467048645	 2451.067665983053	 1960.052941336873	 0.13060591903490604	 0.00218	 0.033303427666020013	 2.234101365917692E-5	 
380.0	 328455.7616400623	 708.1513992	 622.6645300388336	 2485.929526860599	 2003.415848986753	 0.12851640506710282	 0.00218	 0.034019162018175564	 2.2756739210785435E-5	 
390.0	 324232.2214711807	 700.8818528	 1070.9205839633942	 2521.2872326145284	 2046.4146421121366	 0.12642805545078772	 0.00218	 0.03471460136011473	 2.316981258437508E-5	 
400.0	 319887.82055906724	 693.51868	 1727.0759394168854	 2557.1478357123574	 2089.00000000002	 0.1243312231301843	 0.00218	 0.03539478772076876	 2.3579837793395015E-5	 
410.0	 315399.45548060647	 686.0618807999999	 2694.810623407364	 2593.5184889297866	 2131.129133147002	 0.12222950624641271	 0.00218	 0.03606490579804955	 2.3986361798382524E-5	 
420.0	 310742.51898572996	 678.5114552000001	 4088.1887209415436	 2630.4064467773933	 2172.765357820117	 0.12013684112139345	 0.00218	 0.036729376433534355	 2.4388960613957815E-5	 
430.0	 305891.005632045	 670.8674032	 6044.164165735245	 2667.819066947622	 2213.8776773294267	 0.11806799536429935	 0.00218	 0.03739138450769275	 2.4787291260159618E-5	 
440.0	 300817.63291946286	 663.1297248000001	 8728.543701410294	 2705.7638117823562	 2254.4403713332567	 0.11602800635159838	 0.00218	 0.038052728979884876	 2.5181117453983485E-5	 
450.0	 295493.97792482364	 655.2984200000001	 12338.538089990616	 2744.2482497613555	 2294.4325943844988	 0.11400628584419792	 0.00218	 0.038713899414368314	 2.5570315860616566E-5	 
460.0	 289890.62943652115	 647.3734888000001	 17103.918290376663	 2783.2800570118743	 2333.837984816735	 0.11197950319842676	 0.00218	 0.039374298824093046	 2.5954868715160804E-5	 
470.0	 283977.3555891239	 639.3549312	 23287.868787050247	 2822.8670188397446	 2372.6442849626865	 0.10992397140148569	 0.00218	 0.040032547039935196	 2.6334847685523916E-5	 
480.0	 277723.2869979922	 631.2427472	 31187.897725343704	 2863.0170312822347	 2410.8429735940736	 0.10783308780924017	 0.00218	 0.0406868120336199	 2.671039297458906E-5	 
490.0	 271097.1153938961	 623.0369368	 41136.62089276314	 2903.738102683001	 2448.4289113720215	 0.10572842516853598	 0.00218	 0.04133512875723255	 2.7081690855240508E-5	 
