t	m/m0	D/D0	T
0.001	0.999999582	1.001427284	297.1460526
0.002	0.999998977	1.002826567	301.2089082
0.003	0.999998119	1.00419929	305.1913754
0.004	0.999996927	1.005546788	309.0961131
0.005	0.999995299	1.006870299	312.9256411
0.006	0.999993113	1.008170965	316.6823507
0.007	0.999990222	1.009449845	320.3685134
0.008	0.99998645	1.010707915	323.9862895
0.009	0.999981593	1.011946074	327.5377355
0.01	0.999975415	1.013165146	331.0248116
0.011	0.999967642	1.014365887	334.4493882
0.012	0.999957966	1.015548987	337.8132517
0.013	0.999946036	1.016715073	341.1181112
0.014	0.999931462	1.017864711	344.365603
0.015	0.999913809	1.01899841	347.5572966
0.016	0.999892595	1.020116625	350.6946996
0.017	0.999867294	1.021219759	353.779262
0.018	0.999837331	1.022308164	356.812381
0.019	0.999802081	1.023382146	359.7954051
0.02	0.999760871	1.024441964	362.7296377
0.021	0.999712975	1.025487836	365.6163405
0.022	0.999657617	1.026519934	368.456737
0.023	0.99959397	1.027538396	371.2520144
0.024	0.999521154	1.028543316	374.003326
0.025	0.999438238	1.029534753	376.711793
0.026	0.999344237	1.03051273	379.3785054
0.027	0.999238115	1.031477233	382.0045228
0.028	0.999118781	1.032428214	384.5908748
0.029	0.998985091	1.033365588	387.1385607
0.03	0.99883585	1.034289239	389.6485496
0.031	0.998669807	1.035199013	392.1217793
0.032	0.998485656	1.036094722	394.5591557
0.033	0.998282038	1.036976144	396.9615521
0.034	0.998057542	1.03784302	399.3298082
0.035	0.997810698	1.038695056	401.6647289
0.036	0.997539984	1.039531922	403.9670841
0.037	0.997243825	1.040353251	406.2376074
0.038	0.996920589	1.04115864	408.4769959
0.039	0.996568594	1.041947649	410.6859095
0.04	0.996186103	1.0427198	412.8649712
0.041	0.995771328	1.043474579	415.0147665
0.042	0.995322431	1.044211435	417.135844
0.043	0.994837526	1.044929781	419.2287156
0.044	0.994314679	1.045628991	421.2938571
0.045	0.99375191	1.046308408	423.3317091
0.046	0.993147197	1.046967337	425.3426774
0.047	0.992498479	1.047605049	427.3271348
0.048	0.991803656	1.048220783	429.2854216
0.049	0.991060593	1.048813745	431.2178474
0.05	0.990267126	1.049383112	433.1246919
0.051	0.989421061	1.04992803	435.0062071
0.052	0.98852018	1.050447617	436.8626182
0.053	0.987562244	1.050940964	438.6941256
0.054	0.986544998	1.051407138	440.5009061
0.055	0.985466173	1.051845182	442.283115
0.056	0.98432349	1.052254116	444.0408873
0.057	0.983114664	1.052632941	445.7743396
0.058	0.981837409	1.052980637	447.4835713
0.059	0.980489439	1.053296169	449.1686668
0.06	0.979068474	1.053578485	450.8296963
0.061	0.97757224	1.053826519	452.4667176
0.062	0.975998478	1.05403919	454.0797775
0.063	0.974344939	1.054215407	455.6689129
0.064	0.972609393	1.054354069	457.2341521
0.065	0.970789627	1.054454062	458.7755161
0.066	0.968883451	1.054514266	460.2930192
0.067	0.966888696	1.054533552	461.7866704
0.068	0.964803217	1.054510781	463.2564739
0.069	0.962624896	1.05444481	464.7024299
0.07	0.960351638	1.054334487	466.1245355
0.071	0.957981374	1.054178653	467.5227846
0.072	0.955512063	1.053976142	468.897169
0.073	0.952941688	1.053725779	470.2476781
0.074	0.950268256	1.053426382	471.5742994
0.075	0.947489798	1.053076759	472.8770186
0.076	0.944604368	1.052675708	474.1558195
0.077	0.94161004	1.052222016	475.4106839
0.078	0.938504902	1.051714456	476.6415913
0.079	0.935287063	1.051151786	477.8485188
