vKurbelwinkel	p_Zyl_1 	p_Ein 	p_Aus 
[KWnZOT]	[bar]	[bar]	[bar]
-360	2.7149	2.267	0.98972
-359.9	2.7096	2.267	0.98973
-359.8	2.7044	2.2671	0.98974
-359.7	2.6991	2.2672	0.98975
-359.6	2.6938	2.2673	0.98976
-359.5	2.6885	2.2674	0.98977
-359.4	2.6832	2.2674	0.98977
-359.3	2.6778	2.2675	0.98978
-359.2	2.6725	2.2676	0.98978
-359.1	2.6671	2.2677	0.98979
-359	2.6617	2.2677	0.98979
-358.9	2.6563	2.2678	0.98979
-358.8	2.6508	2.2679	0.98979
-358.7	2.6454	2.268	0.98979
-358.6	2.6399	2.268	0.98979
-358.5	2.6344	2.2681	0.98979
-358.4	2.6289	2.2682	0.98978
-358.3	2.6234	2.2682	0.98978
-358.2	2.6178	2.2683	0.98977
-358.1	2.6122	2.2684	0.98977
-358	2.6067	2.2684	0.98976
-357.9	2.6011	2.2685	0.98976
-357.8	2.5954	2.2686	0.98974
-357.7	2.5897	2.2687	0.98972
-357.6	2.584	2.2688	0.9897
-357.5	2.5782	2.2688	0.98969
-357.4	2.5726	2.2689	0.98965
-357.3	2.5668	2.269	0.98964
-357.2	2.561	2.2691	0.9896
-357.1	2.5553	2.2691	0.98962
-357	2.5494	2.2692	0.9896
-356.9	2.5435	2.2692	0.98959
-356.8	2.5377	2.2692	0.98957
-356.7	2.5319	2.2693	0.98955
-356.6	2.5261	2.2693	0.98952
-356.5	2.5202	2.2693	0.98952
-356.4	2.5143	2.2692	0.9895
-356.3	2.5085	2.2692	0.9895
-356.2	2.5027	2.2691	0.98951
-356.1	2.4969	2.2691	0.9895
-356	2.4911	2.269	0.98952
-355.9	2.4853	2.2688	0.98951
-355.8	2.4796	2.2687	0.98953
-355.7	2.474	2.2685	0.9895
-355.6	2.4682	2.2682	0.98947
-355.5	2.4625	2.268	0.98946
-355.4	2.4568	2.2677	0.98947
-355.3	2.4512	2.2674	0.98942
-355.2	2.4456	2.2671	0.98947
-355.1	2.4401	2.2668	0.98945
-355	2.4345	2.2665	0.98944
-354.9	2.4291	2.2661	0.98943
-354.8	2.4237	2.2658	0.98944
-354.7	2.4184	2.2655	0.98944
-354.6	2.4131	2.2651	0.98945
-354.5	2.4078	2.2647	0.98941
-354.4	2.4027	2.2643	0.98943
-354.3	2.3976	2.2639	0.98942
-354.2	2.3925	2.2635	0.98944
-354.1	2.3876	2.263	0.98944
-354	2.3827	2.2626	0.98942
-353.9	2.3777	2.2621	0.98944
-353.8	2.3728	2.2616	0.98945
-353.7	2.368	2.2611	0.98944
-353.6	2.3632	2.2605	0.98946
-353.5	2.3584	2.26	0.98948
-353.4	2.3537	2.2594	0.9895
-353.3	2.3492	2.2589	0.98951
-353.2	2.3447	2.2583	0.98951
-353.1	2.3403	2.2577	0.9896
-353	2.336	2.2571	0.98957
-352.9	2.3318	2.2565	0.98958
-352.8	2.3277	2.2559	0.98961
-352.7	2.3237	2.2552	0.98962
-352.6	2.3196	2.2546	0.98963
-352.5	2.3158	2.2539	0.98967
-352.4	2.3121	2.2531	0.98968
-352.3	2.3085	2.2524	0.9897
-352.2	2.3051	2.2516	0.98971
-352.1	2.3018	2.2508	0.98976
-352	2.2985	2.25	0.98975
-351.9	2.2955	2.2491	0.98976
-351.8	2.2927	2.2482	0.98979
-351.7	2.2899	2.2473	0.98977
-351.6	2.2871	2.2464	0.98979
-351.5	2.2846	2.2455	0.98983
-351.4	2.2822	2.2446	0.98982
-351.3	2.2799	2.2437	0.98982
-351.2	2.2778	2.2428	0.98985
-351.1	2.2758	2.2419	0.9898
-351	2.274	2.241	0.9898
-350.9	2.2724	2.24	0.98981
-350.8	2.2708	2.2391	0.98982
-350.7	2.2695	2.2382	0.9898
-350.6	2.2681	2.2372	0.98978
-350.5	2.2669	2.2362	0.98977
-350.4	2.2659	2.2352	0.98975
-350.3	2.2649	2.2342	0.98972
-350.2	2.2642	2.2333	0.98976
-350.1	2.2634	2.2323	0.98974
-350	2.2628	2.2313	0.98969
-349.9	2.2623	2.2303	0.98972
-349.8	2.2618	2.2294	0.98969
-349.7	2.2614	2.2284	0.98964
-349.6	2.2612	2.2275	0.98965
-349.5	2.261	2.2266	0.98965
-349.4	2.2609	2.2256	0.98964
-349.3	2.2609	2.2247	0.9896
-349.2	2.2611	2.2238	0.98958
-349.1	2.2613	2.2228	0.98958
-349	2.2614	2.2218	0.98952
-348.9	2.2617	2.2209	0.98955
-348.8	2.2619	2.2199	0.98954
-348.7	2.2621	2.2189	0.98952
-348.6	2.2624	2.2179	0.98953
-348.5	2.2629	2.2168	0.98953
-348.4	2.2632	2.2158	0.9895
-348.3	2.2636	2.2148	0.98951
-348.2	2.264	2.2137	0.98951
-348.1	2.2645	2.2127	0.98953
-348	2.265	2.2116	0.9895
-347.9	2.2655	2.2106	0.98953
-347.8	2.266	2.2095	0.98952
-347.7	2.2664	2.2085	0.98951
-347.6	2.2668	2.2074	0.98949
-347.5	2.2672	2.2063	0.98953
-347.4	2.2677	2.2052	0.98947
-347.3	2.2681	2.2042	0.98949
-347.2	2.2685	2.2031	0.98948
-347.1	2.2689	2.202	0.98946
-347	2.2693	2.2009	0.98946
-346.9	2.2696	2.1999	0.98949
-346.8	2.2699	2.1988	0.9895
-346.7	2.2701	2.1978	0.98951
-346.6	2.2703	2.1968	0.9895
-346.5	2.2706	2.1958	0.98952
-346.4	2.271	2.1948	0.98953
-346.3	2.2712	2.1939	0.98954
-346.2	2.2714	2.193	0.98957
-346.1	2.2716	2.1921	0.98952
-346	2.2718	2.1912	0.98951
-345.9	2.2719	2.1903	0.98953
-345.8	2.2721	2.1895	0.98954
-345.7	2.2722	2.1886	0.98952
-345.6	2.2724	2.1878	0.98958
-345.5	2.2725	2.187	0.98957
-345.4	2.2726	2.1862	0.98957
-345.3	2.2727	2.1854	0.98955
-345.2	2.2728	2.1847	0.98958
-345.1	2.2729	2.1839	0.98957
-345	2.2729	2.1832	0.98958
-344.9	2.2729	2.1825	0.9896
-344.8	2.273	2.1818	0.9896
-344.7	2.2731	2.1811	0.98959
-344.6	2.2732	2.1804	0.9896
-344.5	2.2733	2.1797	0.98962
-344.4	2.2733	2.1791	0.98962
-344.3	2.2735	2.1784	0.98963
-344.2	2.2736	2.1777	0.98964
-344.1	2.2738	2.1771	0.98968
-344	2.2739	2.1764	0.98964
-343.9	2.274	2.1757	0.98967
-343.8	2.2741	2.175	0.98967
-343.7	2.2742	2.1744	0.98964
-343.6	2.2743	2.1737	0.98963
-343.5	2.2743	2.1731	0.98966
-343.4	2.2743	2.1725	0.98962
-343.3	2.2744	2.1719	0.98963
-343.2	2.2745	2.1713	0.98962
-343.1	2.2745	2.1707	0.98964
-343	2.2744	2.1702	0.98967
-342.9	2.2743	2.1697	0.98967
-342.8	2.2742	2.1691	0.98967
-342.7	2.274	2.1686	0.9897
-342.6	2.2739	2.1681	0.98966
-342.5	2.2737	2.1676	0.98969
-342.4	2.2735	2.1671	0.9897
-342.3	2.2732	2.1666	0.98967
-342.2	2.2729	2.1661	0.98968
-342.1	2.2724	2.1656	0.98967
-342	2.272	2.1651	0.9897
-341.9	2.2714	2.1646	0.9897
-341.8	2.271	2.1642	0.98971
-341.7	2.2704	2.1637	0.9897
-341.6	2.2697	2.1633	0.98975
-341.5	2.2689	2.1628	0.98969
-341.4	2.2682	2.1623	0.98968
-341.3	2.2674	2.1619	0.98969
-341.2	2.2666	2.1614	0.98967
-341.1	2.2657	2.161	0.98963
-341	2.2648	2.1605	0.98966
-340.9	2.2638	2.16	0.98965
-340.8	2.2628	2.1596	0.98965
-340.7	2.2618	2.1591	0.98963
-340.6	2.2607	2.1586	0.98965
-340.5	2.2596	2.1581	0.98964
-340.4	2.2586	2.1576	0.98959
-340.3	2.2574	2.1571	0.98957
-340.2	2.2562	2.1567	0.98961
-340.1	2.255	2.1562	0.98957
-340	2.2538	2.1557	0.98952
-339.9	2.2526	2.1553	0.98956
-339.8	2.2513	2.1548	0.98955
-339.7	2.2502	2.1544	0.98951
-339.6	2.2489	2.154	0.98955
-339.5	2.2475	2.1536	0.98955
-339.4	2.2462	2.1532	0.98953
-339.3	2.2449	2.1528	0.98954
-339.2	2.2436	2.1524	0.98957
-339.1	2.2422	2.152	0.98959
-339	2.2408	2.1516	0.98958
-338.9	2.2395	2.1512	0.98958
-338.8	2.238	2.1509	0.98962
-338.7	2.2365	2.1505	0.98958
-338.6	2.2351	2.1502	0.98957
-338.5	2.2337	2.1499	0.9896
-338.4	2.2322	2.1495	0.98959
-338.3	2.2309	2.1492	0.98957
-338.2	2.2294	2.1489	0.98958
-338.1	2.2279	2.1486	0.98955
-338	2.2265	2.1484	0.98958
