vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-360	2.8191	2.2793	2.7905
-359.9	2.8132	2.2795	2.7886
-359.8	2.8073	2.2797	2.7868
-359.7	2.8014	2.2799	2.785
-359.6	2.7955	2.2801	2.7833
-359.5	2.7896	2.2802	2.7816
-359.4	2.7837	2.2804	2.7799
-359.3	2.7779	2.2805	2.7782
-359.2	2.772	2.2807	2.7766
-359.1	2.7661	2.2809	2.775
-359	2.7603	2.281	2.7734
-358.9	2.7544	2.2811	2.7718
-358.8	2.7486	2.2813	2.7703
-358.7	2.7428	2.2814	2.7688
-358.6	2.737	2.2815	2.7673
-358.5	2.7311	2.2816	2.7659
-358.4	2.7253	2.2818	2.7645
-358.3	2.7195	2.2819	2.7631
-358.2	2.7138	2.282	2.7617
-358.1	2.708	2.2821	2.7604
-358	2.7022	2.2822	2.7591
-357.9	2.6964	2.2823	2.7577
-357.8	2.6906	2.2824	2.7564
-357.7	2.6849	2.2826	2.7551
-357.6	2.6791	2.2827	2.7538
-357.5	2.6734	2.2828	2.7526
-357.4	2.6677	2.2829	2.7515
-357.3	2.662	2.283	2.7503
-357.2	2.6563	2.283	2.7493
-357.1	2.6506	2.2831	2.7482
-357	2.6449	2.2831	2.7472
-356.9	2.6392	2.2832	2.7463
-356.8	2.6335	2.2832	2.7454
-356.7	2.6278	2.2832	2.7445
-356.6	2.6221	2.2831	2.7437
-356.5	2.6165	2.2831	2.7429
-356.4	2.6108	2.283	2.7421
-356.3	2.6052	2.2828	2.7414
-356.2	2.5994	2.2826	2.7406
-356.1	2.5937	2.2824	2.7399
-356	2.5881	2.2822	2.7392
-355.9	2.5825	2.2819	2.7385
-355.8	2.5768	2.2816	2.7378
-355.7	2.5711	2.2812	2.7371
-355.6	2.5655	2.2809	2.7365
-355.5	2.5599	2.2805	2.7358
-355.4	2.5544	2.2802	2.7352
-355.3	2.549	2.2798	2.7346
-355.2	2.5435	2.2794	2.734
-355.1	2.538	2.2789	2.7333
-355	2.5325	2.2785	2.7327
-354.9	2.5272	2.278	2.7321
-354.8	2.5219	2.2776	2.7315
-354.7	2.5166	2.2771	2.7309
-354.6	2.5113	2.2766	2.7304
-354.5	2.5062	2.2761	2.7298
-354.4	2.5011	2.2755	2.7293
-354.3	2.4961	2.2749	2.7289
-354.2	2.4912	2.2744	2.7285
-354.1	2.4864	2.2738	2.7282
-354	2.4815	2.2732	2.7279
-353.9	2.4768	2.2725	2.7278
-353.8	2.4722	2.2719	2.7277
-353.7	2.4676	2.2713	2.7277
-353.6	2.4631	2.2706	2.7277
-353.5	2.4587	2.2699	2.7279
-353.4	2.4543	2.2693	2.7282
-353.3	2.4501	2.2686	2.7286
-353.2	2.4459	2.2678	2.729
-353.1	2.4417	2.2671	2.7294
-353	2.4378	2.2663	2.7301
-352.9	2.4339	2.2656	2.7307
-352.8	2.4302	2.2648	2.7315
-352.7	2.4264	2.264	2.7323
-352.6	2.4229	2.2632	2.7331
-352.5	2.4193	2.2623	2.734
-352.4	2.4159	2.2614	2.735
-352.3	2.4126	2.2606	2.7361
-352.2	2.4094	2.2597	2.7372
-352.1	2.4064	2.2588	2.7383
-352	2.4035	2.2579	2.7395
-351.9	2.4008	2.257	2.7407
-351.8	2.3981	2.2561	2.742
-351.7	2.3956	2.2552	2.7433
-351.6	2.3932	2.2543	2.7446
-351.5	2.3911	2.2534	2.7458
-351.4	2.389	2.2525	2.7472
-351.3	2.387	2.2516	2.7485
-351.2	2.385	2.2506	2.7497
-351.1	2.3833	2.2497	2.7511
-351	2.3818	2.2488	2.7524
-350.9	2.3804	2.2478	2.7537
-350.8	2.3791	2.2468	2.755
-350.7	2.378	2.2459	2.7564
-350.6	2.377	2.2449	2.7578
-350.5	2.3762	2.2439	2.7592
-350.4	2.3754	2.2429	2.7606
-350.3	2.3748	2.242	2.7622
-350.2	2.3743	2.241	2.7637
-350.1	2.3739	2.24	2.7653
-350	2.3735	2.239	2.7669
-349.9	2.3733	2.238	2.7685
-349.8	2.3731	2.237	2.7702
-349.7	2.3731	2.236	2.7719
