Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p_soll_roh [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	dQKrst [J/s]	dQKrst [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_O [kg]	Z0_N [kg]	Z0_H2 [kg]	Z0_OH [kg]	Z0_CO [kg]	Z0_NO [kg]	Z0_N2 [kg]	Z0_Ar [kg]	Z0_Diesel [kg]	Z0_RON_95 [kg]	Z0_AGR_intern_LWA [kg]	Z0_AGR_extern_LWA [kg]	Z0_feuchteLuft_LWA [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_O [kg]	Z1_N [kg]	Z1_H2 [kg]	Z1_OH [kg]	Z1_CO [kg]	Z1_NO [kg]	Z1_N2 [kg]	Z1_Ar [kg]	Z1_Diesel [kg]	Z1_RON_95 [kg]	Z1_AGR_intern_LWA [kg]	Z1_AGR_extern_LWA [kg]	Z1_feuchteLuft_LWA [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_O [kg]	Z2_N [kg]	Z2_H2 [kg]	Z2_OH [kg]	Z2_CO [kg]	Z2_NO [kg]	Z2_N2 [kg]	Z2_Ar [kg]	Z2_Diesel [kg]	Z2_RON_95 [kg]	Z2_AGR_intern_LWA [kg]	Z2_AGR_extern_LWA [kg]	Z2_feuchteLuft_LWA [kg]	 mDieseldampf [kg]	m_Diesel_Z0 [kg]	TKrstVap [K]	mkrstFl [kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-130.0	 0.0	 0.00166397962081229	 0.9990056106264567	 4.971946867716488E-4	 3.3152279106166E-4	 391.23949083396064	 391.23949083396064	 391.23949083396064	 391.23949083396064	 1247.6941392035021	 1247.6941392035021	 2.131927752136422	 2.131927752136422	 NaN	 2.6797641215488586	 2.6797960189393946	 2.6797641215488586	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 0.0	 0.0	 0.0	 0.0	 0.0	 4.96559792901872E-4	 0.0	 4251.998393145476	 186.19756009109312	 -0.015251536952535644	 -1191.3191159803723	 0.07811141393079794	 0.004022569136822974	 0.004018569136818973	 2.000000002E-6	 2.000000002E-6	 0.19706771272900447	 0.0267965863752405	 0.009656691906080189	 6.246389097815779E-10	 7.25078427994678E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144465E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.19706771272900447	 0.0267965863752405	 0.009656691906080189	 6.246389097815779E-10	 7.25078427994678E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144465E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.8	 2.6147892479866122E-5	 0.0016620534206422933	 0.9990054567461826	 4.971946101870393E-4	 3.314847461295273E-4	 391.41800881246036	 391.41800881246036	 391.37315070231483	 391.4179870964374	 1247.843270355509	 1247.843270355509	 2.1319277521364213	 2.1319277521364213	 NaN	 2.68373687504385	 2.6836960189393944	 2.6840943504658994	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 -1192.6331965997185	 -0.15592422296304237	 0.0	 0.0	 -0.031184844592608476	 4.96559792901872E-4	 0.0	 4251.998393145476	 186.55377583078317	 -0.015248064147293258	 -1190.0848724246277	 0.07804825982686361	 0.004022569136822974	 0.004018569136818973	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.151774514714447E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.151774514714447E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.6	 5.2295784959732244E-5	 0.0016601198990815207	 0.9990052479611086	 4.971945062768827E-4	 3.315004554394203E-4	 391.51749041336683	 391.51749041336683	 391.4912549012419	 391.5174777112944	 1247.9264551732192	 1247.9264551732192	 2.1319277521364213	 2.1319277521364213	 NaN	 2.687695121683466	 2.6876960189393944	 2.6879040201521267	 -9375.603525130682	 -1.2257613645448544	 -0.24515227290897088	 0.0	 0.0	 2.000000002E-6	 -1191.2795956732614	 -0.15574725390561414	 0.0	 0.0	 -0.0623342953737313	 4.96559792901872E-4	 -5.765577741143406E-5	 4251.998393145476	 186.9008083833753	 -0.015257546559723579	 -1189.857719025653	 0.07798486567733008	 0.004022569136822974	 0.004018569136818973	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.4	 7.844367743959836E-5	 0.0016581790640955757	 0.9990050381924727	 4.971944018772175E-4	 3.315159650361324E-4	 391.6178492431602	 391.6178492431602	 391.61001025960724	 391.6178454474706	 1248.0103728609365	 1248.0103728609365	 2.1319277521364213	 2.1319277521364213	 NaN	 2.691619241445787	 2.6915960189393946	 2.691740478692241	 -9375.603525130682	 -1.2257613645448544	 -0.49030454581794175	 0.0	 0.0	 2.000000002E-6	 -1191.076687659012	 -0.15572072582091465	 0.0	 0.0	 -0.09347844053791422	 4.96559792901872E-4	 -1.1531155482286812E-4	 4251.998393145476	 187.2495142617262	 -0.01526722236469027	 -1189.640771956511	 0.07792123174336468	 0.004022569136822974	 0.004018569136818973	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.2	 1.0459156991946449E-4	 0.0016562309237494537	 0.9990048274350205	 4.971942969854288E-4	 3.3153127425173084E-4	 391.719087968116	 391.719087968116	 391.7294185991108	 391.7190929708093	 1248.0950269846644	 1248.0950269846644	 2.1319277521364213	 2.1319277521364213	 NaN	 2.6955562093130263	 2.6954960189393944	 2.6956038763265764	 -9375.603525130682	 -1.2257613645448544	 -0.7354568187269126	 0.0	 0.0	 2.000000002E-6	 -1190.8613000026965	 -0.1556925661545205	 0.0	 0.0	 -0.12461695376881832	 4.96559792901872E-4	 -1.729673322343022E-4	 4251.998393145476	 187.5998984277411	 -0.015276799814961939	 -1189.4112767088316	 0.07785735828939347	 0.004022569136822974	 0.004018569136818973	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.0	 1.307394623993306E-4	 0.001654275486208241	 0.999004615683446	 4.971941915988758E-4	 3.3154638242283434E-4	 391.82120923736545	 391.82120923736545	 391.8494817262063	 391.82122293001015	 1248.1804184842872	 1248.1804184842872	 2.1319277521364213	 2.1319277521364213	 NaN	 2.699499221062348	 2.6994960189393944	 2.6994943643593157	 -9375.603525130682	 -1.2257613645448544	 -0.9806090916358835	 0.0	 0.0	 2.000000002E-6	 -1190.6333300870624	 -0.15566276149030728	 0.0	 0.0	 -0.15574950606687976	 4.96559792901872E-4	 -2.3062310964573623E-4	 4251.998393145476	 187.95196588385193	 -0.015286277385082135	 -1189.1691306694522	 0.0777932455831242	 0.004022569136822974	 0.004018569136818973	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.8	 1.5688735487919673E-4	 0.0016523127597378043	 0.9990044029324008	 4.971940857148966E-4	 3.31561288883769E-4	 391.92421571512756	 391.92421571512756	 391.9702014562129	 391.9242379888569	 1248.2665509240403	 1248.2665509240403	 2.1319277521364213	 2.1319277521364213	 NaN	 2.703424896119556	 2.7033960189393946	 2.7034120953901284	 -9375.603525130682	 -1.2257613645448544	 -1.2257613645448544	 0.0	 0.0	 2.000000002E-6	 -1190.3926752563348	 -0.15563129840711415	 0.0	 0.0	 -0.18687576574830259	 4.96559792901872E-4	 -2.8827888705717033E-4	 4251.998393145476	 188.30572167759706	 -0.01529565353586814	 -1188.914230752878	 0.0777288938955689	 0.004022569136822974	 0.004018569136818973	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.6	 1.8303524735906285E-4	 0.0016503427527054867	 0.9990041891764924	 4.971939793308074E-4	 3.3157599296656815E-4	 392.0281100807665	 392.0281100807665	 392.09157961333847	 392.02814082627526	 1248.3534265752014	 1248.3534265752014	 2.1319277521364213	 2.1319277521364213	 NaN	 2.707365274943854	 2.7073960189393946	 2.707357223325295	 -9375.603525130682	 -1.2257613645448544	 -1.4709136374538252	 0.0	 0.0	 2.000000002E-6	 -1190.1392323732823	 -0.15559816342083493	 0.0	 0.0	 -0.21799539843246957	 4.96559792901872E-4	 -3.459346644686044E-4	 4251.998393145476	 188.66117090182746	 -0.015304926714160545	 -1188.6464733901478	 0.07766430350106668	 0.004022569136822974	 0.004018569136818973	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.4	 2.0918313983892898E-4	 0.0016483654735808006	 0.9990039744102833	 4.971938724439022E-4	 3.315904940009726E-4	 392.1328950288492	 392.1328950288492	 392.21361803070323	 392.1329341363899	 1248.4410464162547	 1248.4410464162547	 2.1319277521364213	 2.1319277521364213	 NaN	 2.711319472970891	 2.7112960189393944	 2.711329903388958	 -9375.603525130682	 -1.2257613645448544	 -1.716065910362796	 0.0	 0.0	 2.000000002E-6	 -1189.8728978172155	 -0.1555633429841564	 0.0	 0.0	 -0.24910806702930086	 4.96559792901872E-4	 -4.035904418800384E-4	 4251.998393145476	 189.01831869491585	 -0.015314095352688952	 -1188.3657545268431	 0.07759947467730648	 0.004022569136822974	 0.004018569136818973	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.2	 2.353310323187951E-4	 0.0016463809309361192	 0.9990037586282928	 4.971937650514531E-4	 3.316047913144308E-4	 392.2385732692033	 392.2385732692033	 392.3363185503637	 392.238620628583	 1248.5294127443863	 1248.5294127443863	 2.1319277521364213	 2.1319277521364213	 NaN	 2.715291665729001	 2.7152960189393944	 2.715330292134487	 -9375.603525130682	 -1.2257613645448544	 -1.9612181832717668	 0.0	 0.0	 2.000000002E-6	 -1189.5935674819827	 -0.15552682348629623	 0.0	 0.0	 -0.2802134317265601	 4.96559792901872E-4	 -4.612462192914724E-4	 4251.998393145476	 189.37717024096685	 -0.015323157869935808	 -1188.071969621041	 0.07753440770534971	 0.004022569136822974	 0.004018569136818973	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.19706771272900445	 0.0267965863752405	 0.00965669190608019	 6.246389097815779E-10	 7.250784279946779E-7	 8.760210800225603E-14	 2.4788658908245184E-8	 2.1517745147144472E-5	 1.1750541198410805E-6	 3.6440422946991613E-4	 0.7428851026102211	 0.0	 0.0	 0.023206058858903374	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
