Kurbelwinkel	p_Zyl_1	p_ein_1	p_aus_1	ZZP_1	ti_1	Inj_1	Optiktrigger_1
[KWnZOT]	[bar]	[bar]	[bar]	[V]	[V]	[V]	[V]
-360,000000	0,577446	0,504547	0,849051	0,018312	9,991454	-21,906855	-0,011964
-359,900000	0,571342	0,504914	0,848898	0,018312	9,991454	-21,967892	-0,011964
-359,800000	0,565238	0,505280	0,848898	0,018312	9,991454	-22,004517	-0,011964
-359,700000	0,559134	0,505524	0,848898	0,018312	9,991454	-22,053349	-0,011964
-359,600000	0,559134	0,505890	0,848746	0,018312	9,991454	-22,151011	-0,011964
-359,500000	0,553030	0,506134	0,848746	0,020753	9,991454	-22,199841	-0,011964
-359,400000	0,546926	0,506256	0,848593	0,018312	9,991454	-22,285297	-0,011964
-359,300000	0,546926	0,506501	0,848593	0,018312	9,991454	-22,370750	-0,011964
-359,200000	0,540822	0,506867	0,848440	0,018312	9,991454	-22,407375	-0,011964
-359,100000	0,540822	0,507233	0,848440	0,018312	9,991454	-22,480621	-0,011964
-359,000000	0,534719	0,507233	0,848440	0,020753	9,991454	-22,541658	-0,011964
-358,900000	0,528615	0,507233	0,848440	0,018312	9,991454	-22,614906	-0,011964
-358,800000	0,528615	0,507233	0,848288	0,018312	9,991454	-22,724777	-0,011964
-358,700000	0,522511	0,507477	0,848288	0,018312	9,991454	-22,773607	-0,011964
-358,600000	0,522511	0,507599	0,848135	0,018312	9,991454	-22,883476	-0,011964
-358,500000	0,516407	0,507721	0,848288	0,018312	9,991454	-22,981138	-0,011964
-358,400000	0,516407	0,507966	0,848288	0,018312	9,991454	-23,042179	-0,011964
-358,300000	0,510303	0,508088	0,848135	0,020753	9,991454	-23,139839	-0,011964
-358,200000	0,504199	0,507843	0,848288	0,018312	9,991454	-23,188671	-0,011964
-358,100000	0,504199	0,507843	0,848288	0,018312	9,991454	-23,237503	-0,011964
-358,000000	0,498095	0,508088	0,848288	0,018312	9,991454	-23,322956	-0,011964
-357,900000	0,491991	0,508210	0,848288	0,018312	9,991454	-23,335163	-0,011964
-357,800000	0,491991	0,507966	0,848288	0,018312	9,991454	-23,396204	-0,011964
-357,700000	0,485887	0,507721	0,848135	0,018312	9,991454	-23,445034	-0,011964
-357,600000	0,479784	0,507966	0,848288	0,018312	9,991454	-23,469450	-0,011964
-357,500000	0,479784	0,507843	0,848288	0,018312	9,991454	-23,530487	-0,011964
-357,400000	0,473680	0,507599	0,848288	0,018312	9,991454	-23,554905	-0,011964
-357,300000	0,467576	0,507599	0,848135	0,018312	9,991454	-23,591528	-0,011964
-357,200000	0,467576	0,507721	0,848288	0,018312	9,991454	-23,676983	-0,011964
-357,100000	0,461472	0,507477	0,848440	0,018312	9,991454	-23,689190	-0,011964
-357,000000	0,461472	0,507233	0,848440	0,018312	9,991454	-23,774645	-0,011964
-356,900000	0,455368	0,507233	0,848593	0,018312	9,991454	-23,823475	-0,011964
-356,800000	0,449264	0,506989	0,848746	0,018312	9,991454	-23,847893	-0,011964
